Name,Beer_ID,ABV,IBU,Brewery_id,Style,Ounces
Trebuchet Double IPA (2012),669,0.097,,11,Belgian IPA,16
Kludde,627,0.085,,11,Belgian Strong Dark Ale,16
Farm Hand,387,0.055,,11,Saison / Farmhouse Ale,16
Solitude,385,0.06,,11,Belgian Pale Ale,16
Triomphe,384,0.065,,11,Belgian IPA,16
Tampa Pale Ale,1096,,,468,American Pale Ale (APA),12
Orange Grove Wheat Ale,1095,,,468,American Pale Wheat Ale,12
Broad Brook Ale,2456,0.061,,90,American Amber / Red Ale,16
Northern Lights Amber Ale,921,0.05,15,494,American Amber / Red Ale,12
Polar Pale Ale,920,0.052,17,494,American Pale Ale (APA),12
Chugach Session Ale,919,0.048,,494,Cream Ale,12
Fairweather IPA,648,0.061,64,494,American IPA,12
East India Pale Ale,1279,0.068,47,438,English India Pale Ale (IPA),16
Brooklyn Summer Ale,756,0.045,,438,English Pale Mild Ale,12
East India Pale Ale,566,0.068,47,438,English India Pale Ale (IPA),12
Brooklyn Summer Ale (2011),328,0.045,,438,English Pale Mild Ale,12
Brooklyn Lager (16 oz.),66,0.052,,438,American Amber / Red Lager,16
Brooklyn Lager (12 oz.),65,0.052,,438,American Amber / Red Lager,12
Tour de Nez Belgian IPA (Current),538,0.08,,531,Belgian IPA,16
Roler Bock (Current),504,,,531,Maibock / Helles Bock,16
Black Adder IBA (Current),383,0.073,85,531,American Black Ale,16
Very Noddy Lager (Current),29,0.099,,531,Schwarzbier,16
Tule Duck Red Ale (Current),28,0.062,42,531,American Amber / Red Ale,16
Original Orange Blossom Ale (Current),27,0.058,35,531,Herbed / Spiced Beer,16
Black Noddy Lager (Current),26,0.052,40,531,Schwarzbier,16
Cleveland Beer Week 2013,1627,0.053,,358,Munich Helles Lager,16
Painted Turtle,2552,0.045,,57,American Pale Ale (APA),12
1836,2125,0.06,40,215,American Blonde Ale,12
Summer's Wit,2124,0.06,20,215,Witbier,12
More Cowbell,2123,0.09,118,215,American Double / Imperial IPA,16
Wrath of Pele,2608,0.065,,25,American Brown Ale,16
Black Beer'd,2607,0.068,,25,American Black Ale,16
Mr. Tea,2606,0.078,,25,Fruit / Vegetable Beer,24
Pale Alement,2478,0.055,40,25,American Pale Ale (APA),12
Hopkick Dropkick,2471,0.099,115,25,American Double / Imperial IPA,12
Kreamed Corn,2470,0.06,,25,Cream Ale,12
Coconoats,2464,0.065,,25,American Pale Wheat Ale,16
Joey Wheat,2160,0.068,16,25,American Pale Wheat Ale,16
3:33 Black IPA,2158,0.072,86,25,American IPA,16
MCA,2072,0.068,,25,American IPA,16
Pale Alement,2054,0.055,40,25,American Pale Ale (APA),16
Couch Select Lager,2196,0.05,14,198,American Pale Lager,12
Mucho Aloha Hawaiian Pale Ale,668,0.056,36,518,American Pale Ale (APA),12
Heinnieweisse Weissebier,52,0.049,,557,Hefeweizen,12
Snapperhead IPA,51,0.068,,557,American IPA,12
Moo Thunder Stout,50,0.049,,557,Milk / Sweet Stout,12
Porkslap Pale Ale,49,0.043,,557,American Pale Ale (APA),12
Blackbeard,2657,0.093,,6,American Double / Imperial Stout,12
Rye Knot,2656,0.062,,6,American Brown Ale,12
Dead Arm,2655,0.06,,6,American Pale Ale (APA),12
32°/50° Kölsch ,2654,0.048,,6,Kölsch,16
HopArt,2653,0.077,,6,American IPA,16
Boy King,2652,0.097,,6,American Double / Imperial IPA,16
Gran Sport,2252,0.052,,183,American Porter,16
Horny Toad Cerveza,2214,0.053,25,183,American Blonde Ale,16
Native Amber,2213,0.063,35,183,American Amber / Red Ale,16
F5 IPA,1442,0.068,100,183,American IPA,16
Native Amber (2013),170,0.063,35,183,American Amber / Red Ale,16
Horny Toad Cerveza (2013),169,0.053,25,183,American Blonde Ale,16
Hopportunity Knocks IPA,2315,0.068,100,156,American IPA,12
Pilot Rock Porter,1808,0.06,,156,American Porter,12
Caldera Pale Ale,1419,0.056,55,156,American Pale Ale (APA),12
Lawnmower Lager,878,0.039,16,156,American Adjunct Lager,12
Ashland Amber Ale (2009),794,0.054,24,156,American Amber / Red Ale,12
Caldera IPA (2009),793,0.061,94,156,American IPA,12
Caldera IPA (2007),792,0.061,94,156,American IPA,12
Caldera Pale Ale (2010),791,0.056,55,156,American Pale Ale (APA),12
Caldera Pale Ale (2009),790,0.056,55,156,American Pale Ale (APA),12
Caldera Pale Ale (2005),789,0.056,55,156,American Pale Ale (APA),12
Caldera Pale Ale (2007),788,0.056,55,156,American Pale Ale (APA),12
Caldera Pale Ale (2011),38,0.056,55,156,American Pale Ale (APA),12
Ashland Amber Ale,37,0.054,24,156,American Amber / Red Ale,12
Caldera IPA,36,0.061,94,156,American IPA,12
Remain in Light,2257,0.05,,179,American Pilsner,12
Flower Child (2014),2256,0.065,,179,American IPA,12
THP White (2006),870,,,498,Witbier,12
THP Amber (2006),869,,,498,American Amber / Red Ale,12
THP Light (2006),868,,,498,American Blonde Ale,12
THP Dark (2006),867,,,498,English Dark Mild Ale,12
Imperial Pumpkin Stout,2068,0.099,43,231,Pumpkin Ale,16
Dead-Eye DIPA,2067,0.09,130,231,American Double / Imperial IPA,16
Fisherman's IPA,2066,0.055,64,231,American IPA,12
Fisherman's Pils,2065,0.054,35,231,German Pilsener,12
Fisherman's Brew,2064,0.055,30,231,American Amber / Red Ale,12
Cape Cod Red,1928,0.055,35,268,American Amber / Red Ale,16
Beach Blonde,1927,0.049,10,268,American Blonde Ale,16
Dark Voyage Black IPA (2013),2227,0.065,80,193,American Black Ale,12
Wisconsin Amber,2226,0.052,28,193,Vienna Lager,12
Lake House,2225,0.046,18,193,Munich Helles Lager,12
Ghost Ship White IPA,1954,0.056,55,193,American IPA,12
Lake House,1910,0.046,18,193,Munich Helles Lager,16
Mutiny IPA,1177,0.062,70,193,American IPA,12
Wisconsin Amber (1998),840,0.052,,193,Vienna Lager,12
Island Wheat,180,0.042,,193,American Pale Wheat Ale,12
Wisconsin Amber (2013),63,0.052,,193,Vienna Lager,12
U.S. Pale Ale,62,0.05,,193,American Pale Ale (APA),12
Supper Club Lager,61,,,193,American Pale Lager,12
Carolina Lighthouse (2007),784,0.04,,505,American Blonde Ale,12
Carolina Blonde (2006),783,0.05,,505,American Blonde Ale,12
Carolina Blonde Light (2005),782,0.035,,505,American Blonde Ale,12
Santa's Secret,2255,0.059,22,180,Winter Warmer,16
Flagship IPA,530,0.057,,180,English India Pale Ale (IPA),12
Sky Blue Golden Ale,427,0.051,,180,Kölsch,12
Epitome,2094,0.099,100,223,American Black Ale,16
Monkey Chased the Weasel,1941,0.039,9,223,Berliner Weissbier,16
077XX,1940,0.078,80,223,American Double / Imperial IPA,16
Boat Beer,1439,0.042,35,223,American IPA,12
Granny Smith Hard Apple Cider,1465,0.069,,405,Cider,16
Dry Hard Apple Cider,1464,0.069,,405,Cider,16
Farmer Ted's Cream Ale,1744,0.056,,332,Cream Ale,12
Firewater India Pale Ale,1743,0.052,,332,American IPA,12
White Zombie Ale,1742,0.047,,332,Witbier,12
King Winterbolt Winter Ale,1719,0.07,,332,Winter Warmer,12
White Zombie Ale,638,0.047,,332,Witbier,12
Firewater India Pale Ale,507,0.052,,332,American IPA,12
Farmer Ted's Farmhouse Cream Ale,480,0.056,,332,Cream Ale,12
Whitecap Wit,1882,0.048,16,286,Witbier,16
Seiche Scottish Ale,1881,0.078,16,286,Scottish Ale,16
Peanut Butter Jelly Time,2446,0.058,,97,American Brown Ale,12
King Coconut,2106,0.054,,97,American Porter,12
Gone A-Rye,2600,0.085,90,30,American Double / Imperial IPA,16
Special Release,2210,,,30,,16
Dankosaurus,2052,0.068,70,30,American IPA,16
Scruffy's Smoked Alt,1584,0.051,35,30,Smoked Beer,16
Elliott's Phoned Home Pale Ale,1182,0.051,36,30,American Pale Ale (APA),16
The Lawn Ranger,1050,0.05,18,30,Cream Ale,16
All American Blonde Ale,1219,0.05,,453,American Blonde Ale,12
All American Red Ale,1218,0.05,,453,American Amber / Red Ale,12
Main St. Virginia Ale,2377,0.05,40,123,Altbier,12
Chin Music Amber Lager,1839,0.045,24,123,American Amber / Red Lager,12
Main St. Virginia Ale,1248,0.05,40,123,Altbier,12
Ray Ray’s Pale Ale,1247,0.052,42,123,American Pale Ale (APA),12
Chai Ale,1649,0.051,15,351,Herbed / Spiced Beer,16
Lucky Day IPA,1648,0.072,85,351,American IPA,16
Terrace Hill Double IPA,1647,0.095,99,351,American Double / Imperial IPA,16
Catch 23,1646,0.075,77,351,American Black Ale,16
Stickin' In My Rye,2057,0.07,,237,Rye Beer,24
Black Me Stout,2056,0.06,45,237,American Stout,12
Killer Kolsch,2055,0.05,22,237,Kölsch,12
Missile IPA,1933,0.07,65,237,American IPA,12
Enlighten,2019,0.045,,251,Kölsch,16
Ale Cider,2018,0.065,8,251,Fruit / Vegetable Beer,16
Pail Ale,2017,0.055,30,251,American Pale Ale (APA),16
Englishman,2016,0.045,,251,English Brown Ale,16
8 Barrel,2080,0.08,69,227,American Strong Ale,16
Oktoberfest,2079,0.055,40,227,Märzen / Oktoberfest,16
IPA #11,2380,0.057,58,122,American IPA,16
Blood Orange Honey,2379,0.057,10,122,Fruit / Vegetable Beer,16
Lighthouse Amber,2354,0.052,,122,Altbier,16
Bay of Bengal Double IPA (2014),2440,0.089,126,100,American Double / Imperial IPA,12
Churchkey Pilsner Style Beer,567,0.049,29,527,American Pilsner,12
First Press,1342,0.05,,426,Cider,12
Magic Apple,1341,0.05,,426,Cider,12
Cubano Espresso,2349,0.055,25,142,Bock,12
Operation Homefront,2014,0.062,65,142,American IPA,12
Wandering Pelican,2013,0.082,65,142,American Black Ale,12
Sugar Plum,2012,0.055,,142,American Brown Ale,12
Oktoberfest,2011,0.055,,142,Märzen / Oktoberfest,12
Puppy's Breath Porter,2010,0.06,,142,American Porter,12
Happening Now,2009,0.045,,142,American IPA,12
Hopped on the High Seas (Hop #529),1726,0.07,60,142,American IPA,12
Hopped on the High Seas (Calypso),1725,0.07,60,142,American IPA,12
Wiregrass Post-Prohibition Ale,1695,0.063,,142,American Pale Ale (APA),12
Dry-Hopped On The High Seas Caribbean-Style IPA,1694,0.07,60,142,American IPA,12
Hopped on the High Seas (Citra),1693,0.07,60,142,American IPA,12
Hopped on the High Seas (Ahtanum),1692,0.07,60,142,American IPA,12
Gwar Beer,1369,0.055,,142,American Pale Ale (APA),12
Tropical Heatwave,1243,0.052,,142,American Pale Wheat Ale,16
Humidor Series India Pale Ale,1142,0.075,70,142,American IPA,12
Jai Alai IPA Aged on White Oak,1141,0.075,70,142,American IPA,12
José Martí American Porter,1140,0.08,65,142,American Porter,12
Invasion Pale Ale,1139,0.05,,142,American Pale Ale (APA),12
Maduro Brown Ale,1138,0.055,25,142,English Brown Ale,12
Maduro Brown Ale,571,0.055,25,142,American Brown Ale,12
Hotter Than Helles Lager,570,0.05,,142,Munich Helles Lager,12
Tocobaga Red Ale,569,0.072,75,142,American Amber / Red Ale,12
Jai Alai IPA,546,0.075,70,142,American IPA,12
Florida Cracker Belgian Wit,545,0.05,18,142,Witbier,12
Shark Tracker Light lager,2338,0.048,,146,Light Lager,12
Pumple Drumkin,1365,0.06,,146,Pumpkin Ale,12
Grey Lady,1094,0.045,,146,Witbier,12
Summer of Lager,657,0.062,,146,Munich Helles Lager,12
Indie Pale Ale,656,0.065,,146,American IPA,12
Sankaty Light Lager,359,0.038,,146,Light Lager,12
Whale's Tale Pale Ale,56,0.056,,146,English Pale Ale,12
Jacaranada Rye IPA,1772,0.067,60,321,American IPA,16
Cascadian Dark Ale,1393,0.06,75,419,American Black Ale,12
Wheat the People,893,0.044,13,419,American Pale Wheat Ale,16
Tybee Island Blonde,1407,0.047,17,416,American Blonde Ale,12
Savannah Brown Ale,1406,0.062,55,416,American Brown Ale,12
Rhode Island Blueberry,2438,0.046,11,102,Kölsch,12
Newport Storm IPA,2437,0.065,75,102,American IPA,12
Hurricane Amber Ale (2004),751,0.052,24,102,American Amber / Red Ale,12
Hurricane Amber Ale,120,0.052,24,102,American Amber / Red Ale,12
Big Blue Van,2061,0.058,,233,Fruit / Vegetable Beer,16
Des Moines IPA,970,0.068,75,483,American IPA,16
Capital Gold Golden Lager,969,0.048,22,483,German Pilsener,16
Farmer John's Multi-Grain Ale,968,0.056,21,483,American Blonde Ale,16
Behemoth,2351,0.05,,140,American Pilsner,12
Arkansas Red,1650,0.052,,140,American Amber / Red Ale,12
Core Oatmeal Stout,1337,0.057,,140,Oatmeal Stout,12
Core ESB,1336,0.061,,140,Extra Special / Strong Bitter (ESB),12
Chester's Beer (2005),737,0.038,,513,American Pale Lager,12
Heiner Brau Kölsch,129,0.05,,554,Kölsch,12
Trigger Blonde Ale,716,0.048,,516,American Blonde Ale,16
Crabtree Oatmeal Stout,659,0.075,29,516,Oatmeal Stout,16
Eclipse Black IPA,556,0.077,71,516,American Black Ale,16
Neomexicanus Native,2538,0.06,46,64,American Pale Ale (APA),12
Old Soul,2355,0.075,25,64,Belgian Strong Pale Ale,12
Snowcat Coffee Stout,1689,0.059,,64,American Stout,12
WinterWonderGrass Festival Ale,1163,,,64,American Amber / Red Ale,12
Boohai Red Ale,940,,,64,American Amber / Red Ale,12
Lava Lake Wit,685,0.052,15,64,Witbier,12
Mountain Livin' Pale Ale,613,0.06,,64,American Pale Ale (APA),12
Crazy Mountain Amber Ale,356,0.052,25,64,American Amber / Red Ale,12
Tropicalia,2029,0.065,65,248,American IPA,12
Athena,2028,0.045,,248,Berliner Weissbier,12
Aviator Raspberry Blonde,2293,0.049,25,170,American Blonde Ale,12
3 Picket Porter,1105,0.055,,170,American Porter,12
Rusty Nail Pale Ale,1104,0.056,,170,American Pale Ale (APA),12
Red Water Irish Style Red,2145,0.065,,213,American Amber / Red Ale,12
Mjöllnir,1804,0.066,,213,Herbed / Spiced Beer,12
Bear Butte Nut Brown Ale,1602,0.055,,213,American Brown Ale,12
Easy Livin' Summer Ale,1301,0.045,,213,American Blonde Ale,12
Canyon Cream Ale,542,0.055,,213,Cream Ale,12
Pile O'Dirt Porter,272,0.069,,213,American Porter,12
11th Hour IPA,271,0.06,,213,American IPA,12
South Ridge Amber Ale,1057,0.06,31,473,American Amber / Red Ale,16
Summertime Ale,681,0.052,23,473,Kölsch,16
Lost River Blonde Ale,1789,0.049,,316,American Blonde Ale,16
Monon Wheat,1788,0.054,,316,Witbier,16
Floyd's Folly,1787,0.08,,316,Scottish Ale,16
Half Court IPA,1786,0.063,,316,American IPA,16
Geary's Pale Ale,1763,0.045,,324,English Pale Ale,12
Geary's Summer Ale,1311,0.06,,324,Kölsch,12
Stone of Arbroath,2078,0.08,,228,Scotch Ale / Wee Heavy,12
The Tradition,1809,0.05,15,228,American Blonde Ale,12
El Hefe Speaks,1263,0.053,11,228,Hefeweizen,12
Penn Quarter Porter,1092,0.055,,228,American Porter,12
On the Wings of Armageddon,851,0.092,115,228,American Double / Imperial IPA,12
The Corruption,186,0.065,80,228,American IPA,12
The Citizen,185,0.07,,228,Belgian Pale Ale,12
The Public,184,0.06,,228,American Pale Ale (APA),12
Dank IPA,1224,0.065,,452,American IPA,16
Dank IPA (2012),964,0.065,,452,American IPA,16
Lift Off IPA,1623,0.072,,359,American IPA,16
BrewFarm Select Golden Lager,110,0.055,,555,American Pale Lager,12
Sprocket Blonde Ale (2006),1735,0.05,,334,American Blonde Ale,12
Sprocket Pale Ale (2006),1734,0.05,,334,American Pale Ale (APA),12
Dead Armadillo Amber Ale,1746,0.063,37,331,American Amber / Red Ale,12
Neato Bandito,2371,0.06,,128,Euro Pale Lager,12
Oak Cliff Coffee Ale,2251,0.075,33,128,American Brown Ale,12
Dream Crusher Double IPA,2166,0.085,100,128,American Double / Imperial IPA,12
Deep Ellum Pale Ale,1827,0.06,,128,American Pale Ale (APA),12
Double Brown Stout,1203,0.07,,128,Baltic Porter,12
Farmhouse Wit,1202,0.048,25,128,Saison / Farmhouse Ale,16
Rye Pils Session Lager,1161,0.046,,128,German Pilsener,12
Dallas Blonde,946,0.052,23,128,American Blonde Ale,12
Deep Ellum IPA,943,0.07,70,128,American IPA,12
Thrasher Session India Pale Ale,1886,0.045,44,284,American IPA,12
Gutch English Style Mild Ale,1885,0.05,16,284,English Pale Mild Ale,12
Chuli Stout,1213,0.059,55,454,Irish Dry Stout,12
Mother Ale,1159,0.056,46,454,American Blonde Ale,12
Twister Creek India Pale Ale,947,0.065,71,454,American IPA,12
Single Engine Red,929,0.058,46,454,Irish Red Ale,12
Incredible Pedal IPA,1944,0.07,,264,American IPA,12
Graham Cracker Porter,1943,0.05,,264,American Porter,12
Mirror Pond Pale Ale,1210,0.05,40,455,American Pale Ale (APA),12
Weissenheimer,2550,0.052,16,58,Hefeweizen,12
Abbey's Single (2015- ),2505,0.049,22,58,Abbey Single Ale,12
Vertex IPA,2025,0.063,76,58,American IPA,12
Here Gose Nothin',2021,0.05,12,58,Gose,12
Strawberry Blonde,2015,0.05,,58,Fruit / Vegetable Beer,12
Hoperation Overload,1888,0.096,85,58,American Double / Imperial IPA,12
Abbey's Single Ale (Current),1887,0.049,22,58,Abbey Single Ale,12
Bravo Four Point,2051,0.044,45,238,American Pale Ale (APA),12
Striped Bass Pale Ale,1201,0.052,26,238,American Pale Ale (APA),12
Deadicated Amber,924,0.054,27,492,American Amber / Red Ale,16
Kaleidoscope Collaboration 2012,731,,,492,American Black Ale,16
California Sunshine Rye IPA,730,0.071,85,492,American IPA,16
Full Boar Scotch Ale,647,0.074,12,492,Scotch Ale / Wee Heavy,16
12 Man Pale Ale,1773,0.045,,320,American Pale Ale (APA),12
Filthy Hoppin' IPA,1795,0.065,72,312,American IPA,16
Dock Street Amber Beer (1992),944,,,489,American Amber / Red Ale,12
Dolores River Hefeweizen,524,,,532,Hefeweizen,16
Dolores River ESB,450,,,532,Extra Special / Strong Bitter (ESB),16
Snaggletooth Double Pale Ale,449,,,532,American Double / Imperial IPA,16
Dolores River Pale Ale,448,,,532,American Pale Ale (APA),16
Dolores River Dry Stout,447,,,532,Irish Dry Stout,16
Dolores River Mild,446,,,532,English Dark Mild Ale,16
Cranberry Blend,1246,0.049,,447,Cider,12
Orignal Blend,977,0.051,,447,Cider,12
Hop Abomination,881,0.066,100,497,American IPA,12
Apricot Blonde,880,0.051,17,497,Fruit / Vegetable Beer,12
Dry Dock Hefeweizen,872,0.043,12,497,Hefeweizen,12
Dry Dock Amber Ale,871,0.058,49,497,American Amber / Red Ale,12
Category 3 IPA,1685,0.061,64,341,American IPA,12
Dundee Summer Wheat Beer,457,0.045,18,539,American Pale Wheat Ale,12
Pumpkin Patch Ale,1590,0.05,,370,Pumpkin Ale,16
Crank Yanker IPA,1382,0.078,74,370,American IPA,16
River Runners Pale Ale,1110,0.06,,370,American Pale Ale (APA),16
Pumpkin Patch Ale (2012),1014,0.05,,370,Pumpkin Ale,16
Mountain Fairy Raspberry Wheat,911,0.055,,370,Fruit / Vegetable Beer,16
Boater Beer,680,0.045,,370,German Pilsener,16
Crank Yanker IPA (2011),395,0.078,74,370,American IPA,16
Bleeding Buckeye Red Ale,1642,0.057,,353,Extra Special / Strong Bitter (ESB),16
Dottie Seattle Lager,673,0.049,25,517,American Amber / Red Lager,16
Nut Sack Imperial Brown Ale,1107,0.07,,466,American Brown Ale,12
Underachiever,1039,0.05,,474,American Adjunct Lager,16
Lil' Brainless Raspberries,2477,0.052,,82,Fruit / Vegetable Beer,12
Element 29,2008,0.052,,82,American Pale Ale (APA),12
Hop Syndrome,2004,0.05,,82,American Pale Lager,12
Escape to Colorado,2003,0.062,,82,American IPA,12
Little Sister India Style Session Ale,2292,0.043,60,171,American IPA,12
Country Boy IPA,1504,0.062,80,171,American IPA,12
Blonde Czich,2604,0.049,23,27,American Blonde Ale,16
White Reaper,2432,0.07,61,27,Belgian IPA,16
Bobblehead,2431,0.051,,27,American Pale Wheat Ale,16
Lucky Dog,2430,0.052,,27,American Pale Ale (APA),16
Voodoo,2429,0.048,,27,American Porter,16
General George Patton Pilsner,1967,0.054,48,27,Czech Pilsener,16
Nomader Weiss,2283,0.04,,174,Berliner Weissbier,12
Molotov Lite,2248,0.085,,174,American Double / Imperial IPA,16
Hipster Ale (Two Roads Brewing),1287,0.055,,174,American Pale Ale (APA),12
Bikini Beer,1286,0.027,,174,American IPA,12
Hipster Ale (Westbrook Brewing),640,0.055,,174,American Pale Ale (APA),12
Iron Horse Pale Ale,1722,0.05,32,336,American Pale Ale (APA),12
Stone's Throw IPA,1435,0.045,19,336,Scottish Ale,12
Wood Chipper India Pale Ale,1434,0.067,70,336,American IPA,12
Trail Head,2089,0.063,55,225,American Pale Ale (APA),12
Hop Stalker Fresh Hop IPA,2088,0.07,80,225,American IPA,16
Sudice American Stout,1455,0.07,58,406,American Stout,16
Parcae Belgian Style Pale Ale,1454,0.05,20,406,Belgian Pale Ale,16
Norns Roggenbier,1453,0.05,20,406,Roggenbier,16
Laimas Kölsch Style Ale,1452,0.05,20,406,Kölsch,16
Moirai India Pale Ale,1451,0.07,70,406,American IPA,16
Loki Red Ale,2191,0.075,53,202,American Amber / Red Ale,16
Peaches & Cream,1731,0.046,,202,Fruit / Vegetable Beer,16
Quaff India Style Session Ale,1022,0.051,,202,American IPA,16
Loki Red Ale (2013),895,0.075,53,202,American Amber / Red Ale,16
Mjolnir Imperial IPA,682,0.069,,202,American Double / Imperial IPA,16
Fearless Scottish Ale,112,0.05,,202,Scottish Ale,16
Mastermind,2289,0.081,,173,American Double / Imperial IPA,12
Hyzer Flip,2027,0.082,,173,American Double / Imperial IPA,16
Second Fiddle,1929,0.082,80,173,American Double / Imperial IPA,16
Hodad Porter,1858,0.055,30,173,American Porter,16
Weiss Weiss Baby,2591,0.045,,37,Kristalweizen,12
Czech Yo Self,2590,0.055,45,37,Czech Pilsener,12
FMB 101,1968,0.048,20,37,Kölsch,12
Hardcore Chimera,1981,0.09,,257,American Double / Imperial IPA,16
Sobek & Set,1664,0.08,80,257,American Black Ale,16
Nuclear Winter,1663,0.086,,257,Belgian Strong Dark Ale,16
Wet Hot American Wheat Ale,1662,0.05,22,257,American Pale Wheat Ale,16
Secret Stache Stout,941,0.053,,257,American Stout,16
Fascist Pig Ale,935,0.08,72,257,American Amber / Red Ale,16
Cut Throat Pale Ale,809,0.055,,257,American Pale Ale (APA),16
Threadless IPA,481,0.075,,257,American IPA,16
Cut Throat Pale Ale (2011),351,0.055,,257,American Pale Ale (APA),16
Golden Wing Blonde Ale,350,0.047,,257,American Blonde Ale,16
Easy Jack,2569,0.045,47,49,American IPA,12
Union Jack,2463,0.075,75,49,American IPA,12
Pivo Pils,2462,0.053,,49,German Pilsener,12
805 Blonde Ale,1957,0.047,,49,American Blonde Ale,12
805,1733,0.047,20,49,American Blonde Ale,12
Deflator,2624,0.065,,17,Doppelbock,16
Hinchtown Hammer Down,2284,0.05,27,17,American Blonde Ale,16
Half Cycle IPA,1610,0.06,104,17,American IPA,16
Inclined Plane Ale,520,,,533,American IPA,12
Moped Traveler,2554,0.055,,55,American Pale Ale (APA),16
Snake Dog IPA,608,0.071,60,522,American IPA,12
Underdog Atlantic Lager,607,0.047,28,522,American Pale Lager,12
Flying Mouse 8,2567,0.04,,51,American Porter,12
Flying Mouse 4,2566,0.07,70,51,American IPA,12
La Ferme Urbaine Farmhouse Ale,1899,0.078,,280,Saison / Farmhouse Ale,12
Backyahd IPA,983,0.06,,280,American IPA,12
Raincloud Robust Porter,982,0.065,,280,American Porter,12
Barstool American Golden Ale,981,0.045,,280,American Blonde Ale,12
What the Butler Saw,2111,0.05,18,218,Witbier,12
1916 Shore Shiver,2110,0.069,65,218,American IPA,12
Quick WIT,2172,0.052,,207,Belgian Pale Ale,12
The Optimist,2171,0.062,,207,American IPA,12
Suicide Squeeze IPA,1911,0.045,,207,American IPA,16
Java the Hop,1803,0.065,,207,American IPA,16
Next Adventure Black IPA,1566,0.062,,207,American Black Ale,16
3-Way IPA (2013),1515,0.067,,207,American IPA,16
Tender Loving Empire NWPA,1214,0.058,,207,American Pale Ale (APA),16
Quick Wit Belgianesque Ale,674,0.052,,207,Witbier,16
Sunrise Oatmeal Pale Ale,562,0.055,,207,American Pale Ale (APA),16
Cavatica Stout,552,0.088,,207,American Double / Imperial Stout,16
1811 Lager,319,0.051,,207,American Amber / Red Lager,16
Vortex IPA,318,0.074,97,207,American IPA,16
Fort Pitt Ale,2322,,,152,American Amber / Red Ale,12
Park,2661,0.047,19,5,American Pale Wheat Ale,12
Westfalia,2660,0.056,16,5,American Amber / Red Ale,12
KSA,2659,0.046,17,5,Kölsch,12
Villager,2658,0.063,42,5,American IPA,12
Dirty Bastard,2625,0.085,50,16,Scotch Ale / Wee Heavy,12
Centennial IPA,1565,0.072,65,16,American IPA,12
All Day IPA,1223,0.047,42,16,American IPA,12
El Chingon IPA,1874,0.076,73,288,American IPA,12
Block Party Robust Porter,1873,0.057,40,288,American Porter,12
Local Buzz,1872,0.052,20,288,American Blonde Ale,12
Feel Like Maplin' Love,2613,0.055,,23,Oatmeal Stout,16
Father's Beer,2612,0.05,,23,Belgian Pale Ale,16
The 26th,2611,0.06,,23,American IPA,16
The Gadget,2610,0.064,90,23,American IPA,16
Leprechaun Lager,1657,0.04,,349,American Pale Lager,12
Sunbru Kölsch,2309,0.052,17,161,Kölsch,12
Kilt Lifter Scottish-Style Ale,1635,0.06,21,161,,12
Pumpkin Porter,1616,0.051,,161,American Porter,12
Four Peaks Peach Ale,1585,0.042,9,161,Fruit / Vegetable Beer,12
Hop Knot IPA,358,0.067,47,161,American IPA,12
Kilt Lifter Scottish-Style Ale (2009),179,0.06,21,161,Scottish Ale,12
Sunbru Kölsch,178,0.052,,161,Kölsch,12
Four String Vanilla Porter,2428,0.06,,106,American Porter,12
Suncaster Summer Wheat,2427,0.05,28,106,American Pale Wheat Ale,12
Brass Knuckle Pale Ale,2425,0.057,36,106,American Pale Ale (APA),12
Big Star White IPA,2424,0.07,70,106,American White IPA,12
Old Detroit,1998,0.056,,254,American Amber / Red Ale,12
Batch 69 IPA,1556,0.069,69,254,American IPA,12
Twisted Helles Summer Lager,1208,0.055,18,254,Munich Helles Lager,12
OktoberFiesta,2527,0.053,27,67,,12
Texicali ,2526,0.065,33,67,American Brown Ale,12
Pinata Protest,2525,0.06,,67,Witbier,12
Bat Outta Helles,2524,0.042,20,67,Munich Helles Lager,12
Original,2523,0.068,,67,American Amber / Red Ale,12
Rye Wit,2522,0.042,10,67,Witbier,12
Soul Doubt,2521,0.059,70,67,American IPA,12
Yo Soy Un Berliner,2520,0.044,5,67,Berliner Weissbier,12
77 Fremont Select Spring Session IPA,1174,0.04,,461,American IPA,12
Fremont Organic Pale Ale,1116,0.045,,461,American Pale Ale (APA),12
Abominable Ale,994,0.08,,461,English Strong Ale,12
Harvest Ale,901,0.065,35,461,Saison / Farmhouse Ale,12
Fremont Summer Ale,875,0.065,45,461,American Pale Ale (APA),12
Universale Pale Ale,858,0.056,30,461,American Pale Ale (APA),12
Interurban IPA,857,0.065,80,461,American IPA,12
Gateway Kolsch Style Ale,1300,0.053,32,434,Kölsch,12
Wee-Heavy-Er Scotch Ale,1260,0.07,24,434,Scotch Ale / Wee Heavy,12
13 Rebels ESB,1259,0.052,42,434,Extra Special / Strong Bitter (ESB),12
Salamander Slam,2254,0.07,73,181,American IPA,16
Cack-A-Lacky,1658,0.05,,348,American Pale Ale (APA),12
No Wake IPA,2077,0.072,50,229,American IPA,12
Boathouse Blonde,2076,0.049,15,229,American Blonde Ale,12
Cedar Point,2075,0.05,26,229,American Amber / Red Ale,12
Clean Shave IPA,2426,0.067,70,107,American IPA,12
Might As Well IPL,2045,0.072,75,241,American Pale Lager,16
Saison Pamplemousse,1960,0.058,35,241,Saison / Farmhouse Ale,12
