id,Sex,Diameter,Length,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
849,I,0.7,0.9625,0.2125,8.5898985,3.44446425,1.70097,2.4097075,6
850,F,1.3125,1.6625,0.45,43.0628905,16.896302,9.5537815,11.90679,14
851,F,1.25,1.6125,0.4875,42.354153,16.82542825,8.7599955,14.67086625,11
852,M,0.925,1.2125,0.2625,12.99824575,5.6699,2.93417325,3.685435,9
853,M,1.15,1.4625,0.375,31.53881875,15.77649675,6.47786075,7.5126175,9
854,I,0.7875,1,0.2125,9.8372765,4.52174525,1.927766,2.19708625,8
855,M,1.1375,1.4625,0.4125,24.153774,12.23280925,4.422522,6.3786375,11
856,M,1.1375,1.45,0.4125,22.89222125,10.6310625,4.60679375,6.747181,9
857,I,0.925,1.1875,0.3625,14.5999925,6.350288,2.778251,4.3941725,8
858,I,0.8875,1.1625,0.3,14.98271075,6.350288,3.118445,5.2446575,10
859,M,1.1,1.4125,0.3875,26.138239,12.57300325,5.2446575,8.0796075,9
860,I,0.65,0.875,0.2125,5.10291,2.211261,1.6159215,1.70097,5
861,M,1.15,1.475,0.3875,27.555714,12.88484775,5.57067675,8.221355,9
862,I,1.1625,1.45,0.375,28.87396575,10.19164525,6.22271525,7.654365,13
863,M,1,1.2875,0.4125,23.700182,7.9095105,5.17378375,7.2291225,16
864,M,1.1,1.3,0.4375,21.63163475,8.94426725,4.422522,7.72523875,10
865,I,1.05,1.325,0.35,19.85882475,8.09378225,3.9405805,5.8116475,10
866,F,1.375,1.7,0.5,50.972401,20.6100865,10.602713,15.138633,12
867,I,1.0625,1.4,0.3,18.29960225,9.25611175,3.7137845,4.9611625,7
868,F,1.125,1.4375,0.375,26.26581175,10.77281,5.273007,8.788345,13
869,M,1.25,1.65,0.425,37.9032815,18.5122235,7.10154975,10.0640725,11
870,M,1.25,1.5625,0.4375,36.7693015,17.73261225,7.47009325,9.4970825,10
871,I,0.8375,1.0875,0.2375,9.68135425,4.989512,1.77184375,2.28213475,7
872,M,1.0875,1.4375,0.375,25.69882175,11.5382465,5.25883225,7.6260155,8
873,F,1.1375,1.45,0.375,28.81726675,12.57300325,5.726599,7.2291225,8
874,I,0.4125,0.5625,0.125,1.45999925,0.7087375,0.4252425,0.4252425,5
875,M,1.075,1.375,0.375,23.91280325,9.128539,4.8477645,7.654365,12
876,F,1.1375,1.425,0.3875,30.43318825,11.77921725,5.42892925,9.2135875,19
877,M,1.2,1.4875,0.4375,33.46658475,12.77144975,6.67630725,11.90679,17
878,I,1.025,1.3,0.3125,16.99552525,7.6260155,3.58621175,5.10291,8
879,I,0.475,0.6375,0.175,2.76407625,1.14815475,0.58116475,0.7087375,3
880,M,0.975,1.25,0.3125,17.0380495,7.1724235,4.252425,5.2446575,9
881,F,1.3,1.6125,0.5,42.354153,14.74174,8.901743,12.47378,17
882,I,0.675,0.925,0.225,6.80388,2.56562975,1.54504775,1.984465,6
883,I,0.5875,0.8375,0.2,4.86193925,1.85689225,0.8788345,1.70097,7
884,M,0.925,1.225,0.3125,15.49300175,6.577084,3.685435,4.819415,8
885,F,1.4125,1.75,0.4625,49.2430815,20.0430965,9.015141,12.757275,10
886,M,1.225,1.5,0.4375,36.570855,18.9091165,7.75358825,8.9300925,13
887,M,1.0625,1.45,0.3375,23.51591025,9.8372765,4.876114,7.5126175,10
888,M,1.0625,1.375,0.35,22.4244545,11.453198,4.309124,6.9456275,10
889,M,1,1.25,0.2875,17.633389,7.1724235,4.53592,5.5281525,11
890,M,1.0375,1.3375,0.3375,21.8007655,10.035723,4.422522,6.05261825,9
891,I,0.5375,0.7125,0.175,2.65067825,1.20485375,0.52446575,0.850485,5
892,M,1.175,1.5125,0.475,28.576296,11.963489,4.32329875,10.3475675,14
893,F,1.1875,1.5125,0.425,29.44095575,11.453198,6.8322295,9.07184,13
894,I,0.675,0.9,0.225,5.556502,2.31048425,1.020582,1.8427175,7
895,I,0.7375,0.9875,0.2375,6.80388,2.778251,1.2757275,2.1262125,6
896,F,0.9,1.125,0.25,14.8834875,6.7755305,3.30271675,3.8271825,7
897,M,1.125,1.4375,0.4125,26.535132,11.18387775,5.99591925,8.3631025,9
898,M,1.275,1.55,0.4,30.40483875,12.757275,5.783298,9.922325,13
899,F,1.0125,1.3125,0.375,21.21960075,8.32057825,4.6209685,6.16601625,13
900,F,1.3125,1.65,0.4875,49.8667705,19.7029025,8.71747125,13.891255,11
901,I,0.3625,0.5,0.1,1.020582,0.3118445,0.1417475,0.283495,4
902,I,1.0875,1.3875,0.325,21.659018,9.8372765,3.95475525,6.23689,11
903,M,1.175,1.475,0.3625,24.153774,11.4248485,4.9044635,8.3631025,14
904,F,1.1625,1.4375,0.3875,27.8108595,11.60912025,6.36446275,8.0796075,9
905,F,1.25,1.5625,0.425,37.74735925,16.40018575,7.01650125,9.7805775,11
906,M,1.3125,1.6875,0.5,47.173568,20.2131935,10.4042665,13.4660125,10
907,F,0.8,1.05,0.2875,9.85145125,4.932813,1.88524175,2.90582375,9
908,M,1.0375,1.325,0.375,20.921931,7.484268,4.60679375,7.7961125,13
909,M,0.7625,1.0125,0.25,8.40562675,3.515338,1.7293195,2.6932025,7
910,F,0.975,1.2125,0.325,18.01610725,7.8528115,3.86970675,5.2446575,12
911,I,0.8125,1.0875,0.275,11.60912025,5.08873525,2.608154,2.83495,8
912,M,1.25,1.6,0.425,34.5580405,15.52135125,7.6827145,9.99319875,9
913,I,0.45,0.575,0.1625,1.644271,0.5953395,0.3685435,0.60951425,5
914,F,1.1,1.375,0.4,24.437269,9.8372765,4.8477645,8.7032965,14
915,M,0.575,0.7875,0.2375,3.67126025,1.70097,0.80796075,1.20485375,8
916,I,1.1625,1.45,0.3375,24.5790165,10.78698475,4.97533725,7.881161,9
917,F,1.1875,1.625,0.375,32.16250775,15.80484625,6.2652395,8.9300925,10
918,F,1.25,1.6125,0.475,36.457457,14.89766225,7.824462,11.3398,11
919,M,1.275,1.675,0.4375,36.7693015,17.7184375,8.29222875,10.3475675,9
920,I,0.675,0.8875,0.2375,5.556502,2.778251,1.31825175,1.70097,8
921,I,0.9375,1.3,0.3125,16.42853525,7.37087,3.8838815,3.78465825,8
922,I,0.4375,0.5875,0.1375,1.304077,0.94970825,0.29766975,0.56699,4
923,M,1.25,1.6125,0.4,37.364641,14.5432935,9.128539,10.489315,10
924,I,0.6625,0.875,0.2125,4.86193925,2.26796,0.97805775,1.70097,5
925,M,0.975,1.225,0.3375,15.74814725,7.087375,3.2601925,4.819415,8
926,M,1.2125,1.55,0.425,33.40988575,17.2648455,7.15824875,8.66077225,9
927,I,0.95,1.25,0.325,16.2442635,7.0590255,3.41611475,4.6776675,10
928,M,1.2,1.525,0.4125,32.16250775,14.04717725,7.38504475,9.14271375,9
929,M,1.25,1.55,0.4125,35.98969025,17.1514475,7.597666,8.50485,11
930,F,1.2875,1.55,0.4375,36.68987225,17.973583,7.0023265,11.1980525,12
931,F,1.0375,1.325,0.35,19.23513575,8.561549,3.912231,5.953395,10
932,F,1,1.2625,0.3375,20.31241675,7.66853975,4.52174525,5.2446575,14
933,M,1.25,1.5875,0.4625,36.95357325,13.834556,8.3631025,11.1980525,19
934,I,0.6625,0.9625,0.225,5.82582225,2.721552,1.0489315,1.74349425,7
935,M,1.125,1.5,0.4125,22.29688175,9.85145125,4.86193925,7.93786,11
936,M,1.15,1.4375,0.4,30.560761,14.0330025,5.93922025,8.221355,10
937,M,1.425,1.7,0.4875,43.6298805,18.41300025,10.6310625,12.3320325,10
938,F,1.1125,1.425,0.4125,24.56484175,10.149121,4.706017,6.9456275,11
939,M,1.0625,1.375,0.4,20.921931,9.07184,3.8838815,6.23689,10
940,I,0.925,1.1625,0.3,15.37960375,6.633783,3.52951275,5.2446575,8
941,I,0.825,1.0875,0.25,10.50348975,4.0539785,2.4097075,2.90582375,8
942,M,1.3125,1.65,0.4,42.354153,18.6256215,8.94426725,10.489315,9
943,M,1.2875,1.6125,0.4,37.37881575,17.463292,8.561549,9.4970825,8
944,I,0.7625,1.0375,0.2625,10.262519,4.46504625,2.664853,2.53728025,7
945,F,1.375,1.7,0.5125,45.8978405,20.97863,9.525432,13.7495075,13
946,F,1.1,1.375,0.375,23.00561925,10.41844125,4.706017,7.2291225,9
947,M,1.25,1.6125,0.45,40.63900825,18.69649525,9.525432,12.2186345,11
948,M,1.0625,1.3625,0.375,22.055911,9.87980075,5.1312595,6.0951425,9
949,M,1.3125,1.625,0.45,44.8772585,20.85105725,8.63242275,11.90679,10
950,M,1.075,1.45,0.3875,24.720764,9.25611175,6.2652395,7.7961125,13
951,M,0.975,1.2625,0.3125,16.45688475,7.597666,3.24601775,5.10291,11
952,I,0.9,1.175,0.3125,14.52911875,6.4920355,4.15320175,4.3941725,8
953,I,0.8125,1.05,0.275,11.89261525,4.9044635,1.7293195,3.3735905,8
954,I,1.0625,1.3125,0.3125,23.11901725,9.62465525,4.89028875,7.37087,9
955,F,1.3125,1.6125,0.4375,38.215126,12.85649825,7.75358825,13.4660125,16
956,I,0.7125,0.9875,0.2125,6.08096775,2.50893075,1.31825175,1.984465,6
957,M,1.3,1.625,0.475,41.82968725,17.4349425,11.01378075,11.1980525,13
958,I,0.525,0.7,0.1625,2.211261,0.94970825,0.4819415,0.72291225,4
959,I,1.125,1.4375,0.3,20.00057225,9.17106325,5.20213325,5.8116475,8
960,M,1.25,1.6125,0.4375,41.8722115,17.1514475,8.68912175,11.4815475,11
961,I,0.85,1.075,0.2875,10.999606,4.46504625,1.984465,3.5436875,8
962,M,1.175,1.475,0.3625,24.42309425,12.00601325,4.12485225,6.80388,16
963,I,0.6,0.8125,0.1875,4.422522,2.0128145,0.89300925,1.417475,5
964,I,0.625,0.8375,0.225,6.30776375,2.76407625,1.13398,2.4097075,7
965,F,1.2,1.575,0.3875,36.27318525,16.57028275,5.48562825,9.7805775,13
966,M,0.8625,1.1125,0.2625,11.6516445,4.37999775,2.65067825,3.8271825,13
967,F,1.125,1.4375,0.4,26.818627,10.149121,6.59125875,8.3631025,14
968,F,1.25,1.6,0.475,36.27318525,14.92601175,9.015141,10.0640725,11
969,I,1.025,1.35,0.375,21.27629975,9.48290775,5.6982495,5.6982495,9
970,I,0.6875,0.925,0.2375,6.64795775,2.6365035,1.77184375,2.1262125,7
971,F,1.375,1.725,0.45,49.8667705,21.36134825,10.262519,14.0330025,13
972,F,1.375,1.7625,0.4875,47.18774275,20.1564945,12.99824575,13.60776,10
973,I,0.975,1.25,0.3375,18.58309725,7.10154975,3.92640575,6.70465675,12
974,F,0.8625,1.1,0.3,12.47378,5.613201,2.2963095,3.5436875,7
975,M,1.2125,1.5,0.4125,32.5168765,13.5794105,6.690482,9.11436425,10
976,M,1.0125,1.325,0.375,20.79435825,8.77417025,4.89028875,6.80388,9
977,F,1.0625,1.425,0.375,27.499015,12.48795475,6.19436575,7.654365,9
978,I,1.1,1.4125,0.3125,23.6151335,11.32562525,4.9044635,6.0951425,8
979,M,1.1,1.425,0.4375,24.16794875,8.51902475,6.2652395,8.3631025,12
980,F,1.0625,1.325,0.375,23.88445375,10.19164525,5.3580555,6.3786375,10
981,I,0.775,1.1,0.25,10.44679075,4.32329875,2.11203775,2.83495,7
982,M,1.1875,1.475,0.35,26.23746225,13.79203175,4.6209685,6.0951425,9
983,F,1.2125,1.5125,0.425,29.95124675,10.77281,7.6827145,10.035723,11
984,M,1.15,1.45,0.4125,28.22192725,12.0485375,4.649318,9.4970825,10
985,M,1.125,1.475,0.45,25.86891875,11.35397475,5.74077375,7.37087,8
986,F,1.3125,1.5625,0.4375,39.179009,13.79203175,8.164656,13.891255,15
987,F,0.95,1.25,0.3625,17.5483405,7.52679225,4.082328,5.0178615,10
988,I,0.9375,1.25,0.3125,15.23785625,7.3992195,3.01922175,4.819415,8
989,I,1.025,1.4,0.35,21.95668775,8.845044,4.252425,6.27941425,8
990,M,1.2625,1.575,0.425,35.81959325,14.92601175,8.60407325,10.0640725,11
991,I,0.8875,1.15,0.3125,12.60135275,4.72019175,3.061746,4.43669675,9
992,F,1.0125,1.325,0.375,21.1203775,7.6260155,4.195726,7.93786,14
993,M,1.075,1.3625,0.3125,22.43862925,11.43902325,4.15320175,6.520385,9
994,M,1.1625,1.525,0.4125,29.95124675,14.3731965,6.08096775,7.767763,11
995,F,1.2,1.575,0.425,35.50774875,16.20173925,8.66077225,8.788345,12
996,M,1.05,1.3375,0.35,24.1821235,9.79475225,4.2240755,7.7961125,17
997,I,0.325,0.4375,0.075,0.92135875,0.283495,0.226796,0.283495,5
998,F,0.975,1.3625,0.3375,17.463292,7.0590255,3.81300775,5.2446575,9
999,M,1.125,1.4375,0.3875,24.08290025,10.77281,4.60679375,7.087375,9
1000,F,1.125,1.4375,0.375,27.03124825,10.489315,7.64019025,7.654365,11
1001,M,1.2875,1.65,0.3875,35.50774875,15.422128,7.540967,9.63883,11
1002,I,1.125,1.4,0.3625,24.47979325,11.15552825,5.37223025,6.9456275,8
1003,M,1.1875,1.5375,0.4,28.0943545,11.623295,6.5487345,8.6465975,11
1004,F,1.0625,1.4625,0.4,27.158821,11.963489,6.2085405,8.3631025,15
1005,M,1.1875,1.45,0.4,26.80445225,11.63746975,4.40834725,8.17883075,14
1006,F,1.0875,1.425,0.375,26.138239,11.4815475,5.896696,7.2291225,10
1007,F,1.05,1.35,0.375,22.89222125,9.42620875,5.8683465,6.23689,9
1008,I,0.725,0.9875,0.25,9.68135425,4.69184225,1.77184375,2.324659,6
1009,I,0.75,0.9625,0.275,7.030676,3.118445,1.51669825,2.551455,7
1010,M,1.125,1.4125,0.4,25.2027055,10.19164525,4.09650275,8.50485,15
1011,F,1,1.3,0.35,18.6256215,7.1724235,4.53592,6.23689,9
1012,M,1.1875,1.5,0.475,29.766975,12.3320325,5.76912325,10.61688775,17
1013,I,0.7125,0.9375,0.1875,6.30776375,2.67902775,1.4458245,2.08368825,7
1014,M,1.1,1.4125,0.375,25.67047225,11.509897,5.216308,6.36446275,11
1015,I,0.9875,1.2125,0.325,22.41027975,8.4198015,5.00368675,6.80388,8
1016,I,1.125,1.45,0.3625,24.70658925,11.92096475,5.59902625,7.5126175,10
1017,F,1.1,1.45,0.4625,28.8314415,12.03436275,6.5487345,9.355335,10
1018,M,1.1875,1.5,0.3375,26.20911275,11.4815475,6.22271525,7.2291225,10
1019,F,1.1375,1.4375,0.4125,28.25027675,11.58077075,7.1724235,10.21999475,14
1020,M,1.2375,1.575,0.425,35.93299125,17.70426275,8.0229085,8.221355,9
1021,I,0.85,1.1125,0.2625,12.99824575,5.896696,2.5231055,3.40194,8
1022,I,0.55,0.7375,0.2125,3.4302895,1.34660125,0.75126175,0.9922325,5
1023,I,1.1875,1.5375,0.35,26.54930675,11.8784405,5.1879585,7.37087,9
1024,M,1.0375,1.3,0.4,17.42076775,7.44174375,4.706017,6.19436575,9
1025,I,1.125,1.45,0.3875,27.839209,12.1619355,5.51397775,8.3631025,12
1026,M,1.2125,1.55,0.425,26.09571475,11.15552825,5.57067675,8.1363065,9
1027,I,1.125,1.4625,0.275,23.09066775,11.15552825,5.11708475,6.5487345,8
1028,M,0.9625,1.225,0.3125,15.8473705,6.917278,3.72795925,4.6776675,8
1029,I,0.8125,1.0625,0.2375,10.44679075,4.74854125,2.33883375,2.9766975,6
1030,I,1,1.2625,0.275,17.7184375,7.2858215,4.53592,4.9611625,8
1031,F,1.25,1.6125,0.475,41.23434775,16.54193325,7.314171,12.757275,19
1032,F,1.125,1.45,0.3125,27.20134525,15.03940975,5.71242425,6.747181,9
1033,M,0.9875,1.2875,0.325,16.62698175,7.10154975,2.67902775,5.2446575,11
1034,M,1.225,1.6125,0.425,33.40988575,16.612807,6.08096775,8.221355,10
1035,I,0.8,1.125,0.25,12.51630425,4.97533725,2.9199985,3.40194,8
1036,M,1.1625,1.5,0.425,28.19357775,11.736693,5.96756975,9.6104805,10
1037,I,1.225,1.575,0.3875,32.6869735,15.77649675,7.0023265,9.7805775,13
1038,M,0.9375,1.2375,0.3125,17.349894,8.334753,3.6570855,4.252425,9
1039,I,0.85,1.1,0.2625,11.8217415,3.742134,2.608154,4.1106775,7
1040,F,1.3,1.6375,0.4125,37.137845,12.94154675,7.27164675,12.77144975,23
1041,F,1.0875,1.425,0.3875,25.84056925,11.8784405,6.78970525,6.6621325,8
1042,F,1.4375,1.8,0.5125,49.68249875,20.0430965,10.24834425,16.44271,17
1043,M,1.275,1.625,0.475,41.23434775,18.6256215,9.6104805,10.489315,11
1044,F,1.1,1.3875,0.3875,26.988724,10.61688775,5.14543425,7.087375,12
1045,I,0.675,0.8875,0.2,5.71242425,1.91359125,0.92135875,1.7860185,7
1046,F,0.9625,1.25,0.35,17.463292,6.50621025,3.89805625,5.5281525,14
1047,I,0.8375,1.075,0.25,11.38232425,5.783298,2.4097075,3.40194,7
1048,F,1.2,1.5,0.375,36.4291075,17.61921425,8.29222875,8.9867915,13
1049,M,1.025,1.2625,0.3625,20.921931,7.10154975,4.63514325,6.6621325,9
1050,M,1.2125,1.5,0.4,30.730858,13.02659525,7.41339425,8.60407325,12
1051,I,0.6,0.8125,0.175,4.29494925,1.6726205,0.86465975,1.2757275,6
1052,I,0.975,1.275,0.3125,16.31513725,7.6827145,4.12485225,5.23048275,9
1053,I,1.075,1.375,0.325,22.72212425,10.262519,5.48562825,6.066793,8
1054,F,1.075,1.425,0.4,26.32251075,10.489315,7.0023265,8.9300925,13
1055,M,1.1125,1.4,0.4,24.56484175,9.25611175,5.0745605,7.6827145,11
1056,M,1.125,1.4375,0.3875,26.6201805,12.0485375,4.69184225,7.1724235,9
1057,F,0.675,0.9,0.2125,5.31553125,2.31048425,1.2757275,1.70097,7
1058,F,1.0125,1.325,0.325,21.75824125,13.04077,4.43669675,5.953395,8
1059,F,0.8875,1.15,0.3375,12.34620725,5.74077375,2.42388225,3.5436875,10
1060,M,1.05,1.35,0.3875,22.92057075,10.6877615,4.77689075,6.520385,8
1061,F,1.2,1.5,0.4375,32.16250775,11.453198,7.767763,9.355335,12
1062,M,1.3375,1.6875,0.4375,46.67745175,20.97863,10.70193625,12.20445975,11
1063,M,0.9625,1.2875,0.35,17.4349425,6.7755305,4.252425,6.0951425,11
1064,F,1.2875,1.625,0.4125,36.117263,14.84096325,8.77417025,10.489315,13
1065,I,0.8125,1.075,0.3125,10.78698475,4.63514325,2.4097075,2.9766975,10
1066,I,0.35,0.5125,0.0625,0.8221355,0.35436875,0.21262125,0.3118445,5
1067,M,1.3125,1.6625,0.425,40.83745475,18.41300025,9.128539,10.6310625,12
1068,M,1.1875,1.5,0.35,29.86619825,12.37455675,6.76135575,8.0796075,12
1069,I,1.2,1.575,0.375,29.97959625,12.94154675,7.257472,8.788345,9
1070,I,0.6125,0.8,0.1875,4.40834725,2.041164,1.00640725,1.00640725,6
1071,F,1.25,1.625,0.4375,42.354153,16.85377775,9.73805325,11.7650425,12
1072,M,1.275,1.6,0.4625,31.19862475,11.75086775,6.4920355,11.3681495,15
1073,F,1,1.325,0.2875,18.6256215,8.3064035,3.27436725,4.819415,9
1074,F,1.2,1.4875,0.4125,29.41260625,13.62193475,6.917278,7.5126175,10
1075,M,1.2375,1.5875,0.375,38.88133925,17.08057375,9.05766525,10.20582,9
1076,F,1.25,1.5625,0.4125,35.096681,16.726205,7.0590255,8.77417025,10
1077,F,1.325,1.65,0.4625,43.02036625,20.695135,10.19164525,9.355335,9
1078,I,0.8625,1.15,0.25,10.886208,4.77689075,2.45223175,3.118445,7
1079,F,1.0875,1.375,0.375,24.6924145,10.81533425,5.386405,6.9456275,8
1080,M,1.05,1.3625,0.35,23.700182,11.15552825,5.1879585,6.23689,9
1081,I,0.4375,0.6,0.1625,1.99863975,0.75126175,0.396893,0.56699,4
1082,I,0.525,0.7,0.15,3.005047,1.17650425,0.75126175,0.9922325,4
1083,F,1.125,1.5,0.425,27.895908,12.48795475,5.06038575,8.221355,9
1084,I,0.6125,0.8375,0.2,5.613201,2.7499015,1.06310625,1.8427175,7
1085,I,0.9625,1.2375,0.3125,15.2236815,6.36446275,2.9766975,4.252425,8
1086,M,1.0125,1.3125,0.375,24.28134675,8.9300925,6.36446275,7.93786,14
1087,M,1.1,1.375,0.3625,23.24659,11.8784405,4.86193925,7.37087,15
1088,M,1.0625,1.35,0.35,23.7852305,9.6104805,5.216308,6.066793,8
1089,F,1.3375,1.7875,0.425,44.0834725,19.4761065,10.36174225,11.1980525,11
1090,M,0.875,1.1625,0.2625,14.118051,6.56290925,3.24601775,3.96893,10
1091,I,0.6,0.825,0.2125,5.6415505,2.0695135,1.31825175,1.70097,7
1092,I,1.025,1.3125,0.325,21.36134825,10.90038275,4.86193925,5.20213325,9
1093,M,1.1625,1.4375,0.375,24.79163775,11.15552825,5.329706,5.57067675,9
1094,M,1.1875,1.5,0.375,27.71163625,10.2908685,6.633783,7.93786,10
1095,M,1.225,1.55,0.4125,33.46658475,13.4660125,7.35669525,8.9300925,10
1096,F,1.3125,1.55,0.4,36.6559035,16.896302,8.674947,10.489315,11
1097,I,0.525,0.7,0.2,3.01922175,1.0489315,0.56699,0.850485,5
1098,M,1.1875,1.475,0.3625,26.138239,11.6516445,5.00368675,7.93786,12
1099,F,1.1,1.375,0.3875,27.442316,11.0846545,6.2085405,7.087375,9
1100,M,1.125,1.45,0.3875,22.4244545,10.24834425,4.5642695,6.23689,8
1101,F,1.3125,1.6375,0.4375,39.008912,15.86154525,9.808927,11.3398,11
1102,F,1.125,1.425,0.375,26.29416125,10.035723,5.25883225,7.087375,9
1103,F,0.8875,1.1375,0.3,15.2236815,10.87203325,2.96252275,3.5436875,7
1104,I,0.575,0.8,0.1875,4.5075705,1.68679525,1.13398,1.417475,6
1105,I,0.5375,0.825,0.1625,3.7704835,1.60174675,0.83631025,1.1623295,6
1106,M,1.175,1.5,0.4,31.18445,14.3164975,7.0023265,8.788345,8
1107,F,1.2875,1.675,0.4125,29.5685285,12.813974,6.95980225,7.93786,12
1108,F,1.125,1.475,0.375,26.283101,11.679994,5.896696,7.7961125,11
1109,F,1.2,1.4875,0.4125,29.199985,11.6516445,5.59902625,10.0640725,10
1110,M,1.4625,1.7,0.4625,47.95317925,20.2131935,11.49572225,11.623295,13
1111,I,0.825,1.0875,0.225,11.89261525,5.443104,2.778251,3.685435,7
1112,F,1.125,1.425,0.35,25.78387025,9.82310175,5.556502,7.5126175,13
1113,I,0.775,1.025,0.25,10.6877615,4.40834725,1.68679525,3.005047,8
1114,F,1.125,1.375,0.375,24.67823975,10.262519,3.86970675,7.824462,15
1115,I,0.8,1.0375,0.2375,10.19164525,4.8477645,1.8994165,2.9766975,8
1116,I,0.8375,1.15,0.3125,11.6516445,5.37223025,2.67902775,3.2601925,7
1117,I,1.1125,1.375,0.4,26.988724,12.984071,5.8683465,7.7961125,10
1118,I,0.9375,1.175,0.3,14.2030995,6.0951425,3.84135725,4.6776675,8
1119,M,1.05,1.425,0.375,26.01066625,10.092422,5.499803,7.93786,10
1120,M,1.25,1.6125,0.4375,38.79629075,17.19397175,8.3064035,11.3398,10
1121,I,0.7375,0.9875,0.2375,7.83863675,3.2601925,1.77184375,2.4097075,7
1122,M,0.875,1.125,0.3375,12.99824575,5.443104,2.83495,3.685435,10
1123,I,0.525,0.725,0.175,2.82524125,1.1623295,0.86465975,0.97805775,5
1124,I,0.525,0.7,0.1625,3.005047,1.17650425,0.77961125,0.9922325,6
1125,M,1.1,1.45,0.3875,25.27357925,9.19941275,5.8116475,7.087375,10
1126,F,1.0625,1.4125,0.375,25.92561775,11.0846545,6.67630725,7.087375,8
1127,F,1.125,1.425,0.325,21.8007655,7.9095105,4.5075705,7.087375,11
1128,I,0.5625,0.7,0.1625,3.38776525,1.91359125,0.75126175,0.9922325,4
1129,M,1.1375,1.45,0.375,29.5118295,14.10387625,7.2291225,7.654365,10
1130,M,1.0375,1.3375,0.3625,21.9708625,8.8166945,4.309124,7.37087,11
1131,F,1.2,1.5,0.4,32.89959475,14.7133905,6.973977,9.4970825,12
1132,F,1.1875,1.5375,0.4,31.42542075,16.20173925,6.2652395,7.6827145,9
1133,I,0.8125,1,0.25,8.958442,3.55786225,1.80019325,2.79242575,7
1134,F,1.1375,1.45,0.425,27.499015,11.8217415,6.520385,8.0796075,10
1135,F,1.2625,1.5875,0.4375,36.10308825,14.401546,8.618248,10.0640725,10
1136,I,0.7,0.9,0.2125,6.8322295,3.005047,1.247378,1.97029025,7
1137,M,0.275,0.4,0.0625,0.5953395,0.21262125,0.12757275,0.1417475,5
1138,F,1.1875,1.55,0.375,30.957654,13.2959155,5.8683465,8.0796075,11
1139,I,0.7875,1.075,0.2625,9.14271375,3.78465825,2.14038725,3.118445,8
1140,I,0.6625,0.825,0.225,5.20213325,2.31048425,1.8427175,1.8427175,8
1141,F,1.1,1.375,0.3125,21.55979475,7.144074,4.4508715,7.37087,9
1142,M,0.8625,1.1375,0.3125,11.94931425,4.7910655,2.83495,3.5436875,10
1143,I,0.7,0.925,0.2125,6.7755305,2.02698925,1.88524175,1.984465,6
1144,M,1.125,1.4625,0.35,24.59319125,12.23280925,6.16601625,6.27941425,9
1145,I,0.375,0.45,0.1375,0.907184,0.3118445,0.21262125,0.283495,6
1146,I,0.7,0.925,0.2375,7.86698625,3.52951275,1.80019325,2.26796,6
1147,I,1.1125,1.425,0.35,22.58037675,10.44679075,4.8477645,6.3786375,11
1148,F,1.2125,1.5625,0.4,32.16250775,15.77649675,6.5487345,8.6465975,8
1149,M,1.175,1.4875,0.4125,26.138239,10.50348975,4.66349275,8.50485,13
1150,M,0.875,1.1625,0.2875,14.41572075,7.24329725,2.8066005,4.3941725,9
1151,I,0.525,0.725,0.1375,2.96252275,1.17650425,0.623689,0.9922325,1
1152,I,0.775,1.025,0.25,9.63883,3.55786225,1.7860185,2.6932025,6
1153,F,1.2125,1.55,0.4,30.957654,10.98543125,5.896696,10.716111,9
1154,M,1.25,1.6125,0.4,36.85435,16.40018575,7.55514175,10.0640725,11
1155,M,1.15,1.475,0.4,29.8520235,12.47378,5.57067675,9.2135875,14
1156,F,0.975,1.2125,0.325,16.85377775,7.654365,3.7137845,5.2446575,12
1157,M,1.2,1.5375,0.4375,35.02580725,16.44271,8.164656,9.7805775,10
1158,I,0.6,0.8,0.2125,5.10291,2.14038725,1.37495075,1.5592225,6
1159,F,1,1.2625,0.325,21.092028,8.164656,4.74854125,6.19436575,9
1160,M,0.65,0.875,0.2125,5.6699,2.2963095,1.70097,1.70097,6
1161,M,0.375,0.525,0.1,1.13398,0.41106775,0.1984465,0.43941725,5
1162,F,0.9125,1.1875,0.3125,16.9246515,5.6982495,3.685435,5.6699,9
1163,I,1.05,1.3625,0.3375,22.792998,9.56795625,4.479221,5.443104,10
1164,F,0.875,1.125,0.35,15.37960375,6.98815175,3.4869885,4.3941725,11
1165,M,0.6875,0.9,0.25,6.53455975,2.7499015,1.6159215,2.1262125,7
1166,F,1.175,1.375,0.3625,23.019794,8.77417025,5.726599,7.2291225,10
1167,F,1.15,1.5,0.4,28.8314415,12.133586,6.67630725,9.07184,9
1168,M,1.0625,1.3125,0.3875,22.58037675,10.546014,4.60679375,6.1518415,9
1169,I,0.875,1.1,0.275,10.44679075,4.32329875,2.324659,3.5436875,8
1170,F,1.0625,1.4125,0.325,24.7491135,11.8784405,4.932813,5.953395,13
1171,M,1.1625,1.475,0.4625,28.36367475,10.6310625,5.499803,9.922325,15
1172,F,0.85,1.1625,0.275,14.35902175,6.2085405,4.12485225,4.3941725,11
1173,M,1.025,1.3125,0.3375,20.638436,8.34892775,4.32329875,5.386405,11
1174,M,1.2125,1.575,0.4125,31.31202275,13.93377925,6.64795775,8.9300925,11
1175,F,0.725,0.9625,0.225,9.8939755,3.8838815,1.77184375,2.1829115,7
