id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight
16136,F,1.5,1.1875,0.325,31.59551775,14.33067225,6.81805475,7.5126175
16137,I,1.2875,0.975,0.3375,22.15513425,10.432616,4.57844425,5.23048275
16138,I,0.7875,0.575,0.1875,4.60679375,1.8427175,1.14815475,1.2757275
16139,F,1.7375,1.375,0.5,50.632207,19.731252,10.41844125,13.60776
16140,I,1.3375,1.0375,0.3375,22.849697,9.412034,4.7910655,5.386405
16141,F,1.2375,1.0,0.3375,17.84601025,7.087375,3.6570855,6.3786375
16142,M,1.3,1.0125,0.375,18.030282,6.76135575,4.252425,5.953395
16143,F,1.425,1.125,0.3625,26.7902775,10.0073735,6.577084,7.5126175
16144,I,0.9,0.675,0.25,6.27941425,2.7499015,1.190679,1.8427175
16145,I,1.2875,1.05,0.3125,17.70426275,6.6054335,3.72795925,5.10291
16146,I,0.5,0.375,0.0125,1.20485375,0.5386405,0.18427175,0.4252425
16147,F,1.2125,0.875,0.325,14.81261375,5.71242425,3.3168915,4.3941725
16148,M,1.3875,1.1125,0.3625,22.12678475,9.412034,4.40834725,7.5126175
16149,M,1.55,1.275,0.425,39.2073585,18.01610725,8.34892775,11.056305
16150,M,1.7375,1.3125,0.5375,60.6962795,32.1199835,13.87708025,14.3164975
16151,M,1.025,0.775,0.25,9.1001895,4.5075705,2.02698925,2.551455
16152,M,1.45,1.15,0.35,25.44367625,11.15552825,5.386405,6.520385
16153,F,1.6,1.2875,0.525,35.25260325,11.453198,10.58853825,11.056305
16154,I,0.9,0.7375,0.225,6.30776375,2.76407625,1.247378,2.1262125
16155,I,1.325,1.0125,0.3,19.9863975,9.42620875,3.89805625,5.2446575
16156,M,1.2,0.9125,0.3,17.293195,8.32057825,4.479221,4.53592
16157,M,1.425,1.125,0.4,25.64212275,9.48290775,5.2446575,8.221355
16158,I,0.725,0.525,0.1625,3.35941575,1.190679,0.63786375,0.9922325
16159,M,1.55,1.2,0.425,33.5941575,14.69921575,7.10154975,9.02931575
16160,M,1.1,0.875,0.325,11.58077075,4.29494925,2.67902775,3.35941575
16161,M,1.4,1.1,0.3875,25.2594045,11.793392,6.2652395,8.9300925
16162,M,1.4375,1.075,0.3375,24.777463,11.24057675,5.8683465,7.087375
16163,M,1.525,1.225,0.3875,31.127751,15.30873,7.29999625,7.5126175
16164,M,1.3,1.0,0.3,17.916884,6.19436575,3.81300775,6.23689
16165,F,1.225,1.0,0.3,18.27125275,8.334753,4.32329875,4.53592
16166,F,1.25,0.9625,0.3,15.87572,6.973977,3.50116325,5.5281525
16167,M,1.4375,1.0875,0.375,26.932025,10.95708175,5.896696,7.2291225
16168,F,1.7125,1.375,0.5,47.513762,15.8473705,11.97766375,15.7906715
16169,F,1.425,1.125,0.35,20.3265915,8.34892775,4.72019175,6.0384435
16170,M,1.3625,1.075,0.375,22.77882325,9.96484925,5.11708475,6.19436575
16171,M,1.525,1.2125,0.375,31.127751,13.53688625,6.56290925,8.1363065
16172,M,1.8,1.375,0.5,49.32813,20.0430965,11.850091,18.086981
16173,I,0.9125,0.675,0.2375,6.30776375,2.48058125,1.190679,1.8427175
16174,I,1.0875,0.8125,0.25,10.375917,4.5075705,2.0695135,2.4097075
16175,M,1.5125,1.2,0.4125,34.9549335,13.02659525,6.56290925,9.128539
16176,M,1.4625,1.15,0.4,28.76056775,12.82814875,6.67630725,7.72523875
16177,F,1.5125,1.2375,0.4375,34.8415355,12.94154675,6.690482,13.04077
16178,F,1.425,1.1125,0.3875,27.669112,13.73533275,5.8116475,7.2291225
16179,M,1.475,1.1875,0.35,26.12406425,10.77281,5.25883225,7.93786
16180,M,1.625,1.2875,0.45,41.0784255,17.519991,8.561549,11.3681495
16181,I,1.0375,0.8125,0.25,9.07184,4.26659975,1.80019325,2.9766975
16182,F,1.55,1.225,0.4125,32.16250775,16.0174675,6.93145275,7.93786
16183,I,1.175,0.9375,0.3625,16.3576615,6.7188315,3.6003865,5.2446575
16184,I,0.9375,0.7,0.2125,7.10154975,3.515338,1.8994165,2.26796
16185,M,1.4375,1.075,0.35,24.36639525,8.958442,4.86193925,7.93786
16186,F,1.375,1.0625,0.4125,23.51591025,10.56018875,4.9044635,8.6465975
16187,M,1.3875,1.0875,0.3875,25.287754,9.865626,4.77689075,7.7961125
16188,M,1.3,0.9875,0.325,18.71067,6.0951425,4.5075705,5.953395
16189,F,1.4875,1.175,0.4,27.28639375,12.40290625,6.0384435,7.654365
16190,I,0.9,0.6625,0.2375,6.7755305,2.9766975,1.28990225,1.71514475
16191,I,0.625,0.4625,0.1625,2.48058125,0.86465975,0.52446575,0.63786375
16192,I,0.7625,0.6125,0.1875,4.706017,1.7860185,1.077281,1.2757275
16193,F,1.45,1.125,0.4125,25.67047225,12.09106175,5.20213325,7.7961125
16194,I,1.2875,0.975,0.3,17.7184375,6.0384435,3.515338,5.2446575
16195,F,1.2875,0.975,0.2875,16.76872925,8.164656,3.04757125,4.6776675
16196,F,1.6375,1.2875,0.4375,38.08755325,20.36911575,8.3064035,10.0640725
16197,M,1.6,1.25,0.4375,31.39707125,13.08329425,6.59125875,11.056305
16198,M,1.3,0.9625,0.3125,18.71067,8.8733935,4.025629,4.9611625
16199,F,1.225,0.95,0.3125,15.35125425,6.8322295,3.78465825,4.53592
16200,F,1.5125,1.1625,0.4625,39.19318375,13.6928085,8.8166945,10.8011595
16201,F,1.675,1.275,0.525,44.22522,17.463292,11.18387775,12.757275
16202,M,1.35,1.0625,0.375,20.184844,7.7394135,4.5075705,6.463686
16203,I,1.125,0.875,0.3,12.74310025,5.10291,2.83495,3.685435
16204,I,1.325,1.025,0.375,17.7184375,8.15048125,4.2807745,5.726599
16205,M,1.2625,1.0125,0.375,19.901349,9.128539,4.37999775,5.386405
16206,F,1.625,1.2375,0.475,34.23202125,15.46465225,6.350288,11.056305
16207,F,1.6125,1.3,0.4375,34.74231225,13.73533275,7.81028725,10.489315
16208,F,1.45,1.15,0.3875,28.81726675,13.551061,5.14543425,7.7961125
16209,F,1.5375,1.1875,0.4375,28.36367475,12.927372,7.24329725,8.15048125
16210,F,1.625,1.275,0.4125,38.782116,17.2081465,8.34892775,10.3475675
16211,I,1.1375,0.875,0.3,15.762322,8.00873375,3.41611475,4.1106775
16212,F,1.8,1.4125,0.45,48.7327905,23.45921125,11.60912025,11.7650425
16213,F,1.4875,1.175,0.425,31.127751,13.42348825,6.80388,8.9300925
16214,F,1.35,1.05,0.3625,20.41164,8.1930055,4.479221,6.3786375
16215,M,1.4125,1.1625,0.375,24.6357155,11.113004,4.932813,6.80388
16216,F,1.35,1.0125,0.325,20.93610575,9.90815025,3.72795925,6.23689
16217,F,1.575,1.2,0.4375,30.51823675,12.303683,6.56290925,8.1363065
16218,I,1.0875,0.8125,0.275,10.4042665,4.43669675,2.16873675,2.9766975
16219,M,1.6125,1.3125,0.475,38.215126,13.11164375,7.01650125,11.623295
16220,M,1.0625,0.825,0.3125,11.09882925,4.6776675,2.664853,4.1106775
16221,F,1.5625,1.2125,0.475,38.20095125,13.4660125,8.2497045,10.77281
16222,I,0.95,0.7125,0.25,7.257472,3.40194,1.587572,2.26796
16223,F,1.525,1.3125,0.45,37.98833,14.10387625,7.24329725,11.623295
16224,M,1.15,0.875,0.3125,12.94154675,5.74077375,2.90582375,3.5436875
16225,M,1.5625,1.275,0.3875,36.69842775,16.6411565,7.27164675,10.6877615
16226,M,0.8875,0.675,0.25,6.33611325,2.31048425,1.80019325,2.26796
16227,I,1.1375,0.95,0.3375,17.70426275,7.35669525,4.01145425,5.8116475
16228,I,0.6875,0.5125,0.2,2.608154,1.0489315,0.56699,0.7654365
16229,F,1.45,1.1,0.375,26.01066625,10.95708175,5.54232725,7.5126175
16230,M,1.4,1.0875,0.4125,35.62114675,15.18115725,6.747181,9.2135875
16231,F,1.4625,1.1375,0.4375,29.97959625,13.4660125,7.7394135,8.788345
16232,I,1.3875,1.1125,0.3625,21.4038725,9.808927,3.86970675,6.7755305
16233,I,1.325,1.0125,0.325,19.4761065,8.40562675,3.4869885,5.20213325
16234,F,1.5375,1.175,0.4125,29.8520235,13.65028425,7.1724235,8.50485
16235,M,1.2125,0.925,0.275,14.50076925,5.10291,2.721552,4.252425
16236,I,1.1625,0.8875,0.3,13.267566,6.10931725,2.948348,3.5436875
16237,F,1.1625,0.925,0.3125,16.31513725,6.6054335,3.1467945,5.2446575
16238,F,1.6125,1.4125,0.4375,48.26502375,18.01610725,9.128539,16.612807
16239,M,1.425,1.1125,0.35,21.72989175,9.62465525,4.63514325,6.80388
16240,M,1.1,0.825,0.3,11.226402,4.80524025,2.50893075,3.40194
16241,I,1.025,0.75,0.2,7.55514175,3.9972795,1.54504775,1.984465
16242,I,0.95,0.7125,0.225,8.5331995,3.92640575,1.927766,2.26796
16243,M,1.25,0.95,0.35,14.8834875,6.67630725,3.4869885,5.5281525
16244,I,1.1625,0.925,0.2875,12.0485375,4.7343665,2.45223175,4.1106775
16245,F,1.3125,1.0,0.35,19.8163005,7.15824875,4.57844425,5.8116475
16246,F,1.4625,1.1625,0.375,26.7902775,11.75086775,5.59902625,7.2291225
16247,I,1.0,0.775,0.25,8.12213175,3.912231,1.7860185,2.36718325
16248,I,1.4,1.05,0.3375,20.25571775,9.76640275,4.4508715,6.23689
16249,F,1.4375,1.125,0.375,24.73493875,12.757275,4.60679375,6.3786375
16250,I,1.2625,0.975,0.3125,16.2442635,7.24329725,3.5436875,5.953395
16251,M,1.5625,1.225,0.4125,34.79901125,15.0535845,7.200773,8.278054
16252,I,1.0875,0.8625,0.275,11.24057675,4.35164825,2.99087225,3.8271825
16253,I,0.95,0.7625,0.25,7.49844275,3.01922175,1.37495075,2.83495
16254,I,1.1,0.825,0.2625,10.19164525,4.63514325,2.16873675,2.5231055
16255,M,1.375,1.075,0.375,23.57260925,11.5382465,6.05261825,5.216308
16256,I,0.9,0.675,0.2125,6.70465675,2.948348,1.43164975,1.984465
16257,M,1.3125,1.0,0.325,17.08057375,8.09378225,3.64291075,5.8116475
16258,I,0.8,0.5625,0.1875,3.96893,1.2757275,0.9355335,1.247378
16259,I,1.3875,1.075,0.325,22.77882325,10.77281,5.82582225,6.520385
16260,F,1.525,1.25,0.4125,31.127751,13.96212875,6.747181,10.0640725
16261,M,1.3125,0.9875,0.3125,16.31513725,8.1930055,3.515338,5.2446575
16262,M,1.7625,1.3625,0.3875,50.6605565,19.5895045,8.674947,13.7495075
16263,F,1.525,1.1625,0.3,25.3728025,10.6310625,5.2446575,7.7961125
16264,M,1.475,1.125,0.375,24.777463,9.6104805,5.5281525,6.3786375
16265,F,1.45,1.15,0.3875,26.138239,10.77281,5.93922025,7.37087
16266,F,1.5125,1.175,0.3875,29.27085875,12.8990225,7.540967,8.3631025
16267,I,0.7,0.525,0.2,2.83495,1.1056305,0.623689,0.850485
16268,M,0.925,0.7,0.275,6.30776375,2.6365035,1.31825175,2.1262125
16269,I,0.8125,0.625,0.1875,4.94698775,2.08368825,1.00640725,1.13398
16270,I,0.9125,0.675,0.2375,7.9095105,3.175144,0.963883,1.7293195
16271,I,0.7,0.525,0.2,3.01922175,1.17650425,0.75126175,0.94970825
16272,F,1.6625,1.2625,0.4125,41.48949325,17.61921425,9.53960675,10.61688775
16273,M,1.3,0.9875,0.3625,24.4089195,11.8784405,4.876114,5.8116475
16274,I,1.2375,0.9625,0.3,19.51086325,9.68135425,4.025629,5.953395
16275,M,0.8125,0.675,0.225,5.42892925,1.85689225,1.190679,1.7860185
16276,I,1.3,1.0,0.3,20.41164,9.7805775,4.89028875,5.6699
16277,I,1.1125,0.875,0.275,11.35397475,4.72019175,2.5231055,3.40194
16278,F,1.575,1.2,0.45,35.50774875,12.85649825,7.01650125,12.190285
16279,F,1.4125,1.1125,0.4125,25.86891875,10.19164525,4.77689075,8.0796075
16280,F,1.5375,1.2125,0.375,32.16250775,14.92601175,7.3425205,9.979024
16281,F,1.425,1.1,0.3875,28.462898,12.303683,6.56290925,8.3064035
16282,I,1.1625,0.8875,0.3375,13.96212875,6.123492,3.50116325,3.78465825
16283,I,1.2875,0.9875,0.3125,16.45688475,8.63242275,3.61456125,4.3941725
16284,F,1.4,1.0625,0.375,24.9192105,8.334753,5.5281525,6.87475375
16285,M,1.725,1.3125,0.4,44.395317,20.73765925,9.525432,10.602713
16286,M,0.6875,0.5,0.2,2.721552,1.0489315,0.83631025,0.850485
16287,I,0.925,0.675,0.2,6.30776375,2.50893075,1.31825175,1.984465
16288,I,1.25,0.95,0.3125,17.67591325,8.34892775,3.10427025,5.5281525
16289,F,1.1875,0.9125,0.325,18.200379,7.41339425,3.685435,5.8116475
16290,F,1.4125,1.075,0.3625,23.7285315,12.0485375,4.91863825,6.3786375
16291,I,1.175,0.8875,0.2875,13.53688625,6.02426875,2.4664065,3.21766825
16292,F,1.5625,1.2,0.4375,29.95124675,13.154168,6.87475375,9.4970825
16293,I,1.325,1.05,0.35,20.25571775,7.8528115,4.422522,5.17378375
16294,M,1.5,1.1875,0.375,31.34037225,11.94931425,6.4920355,9.02931575
16295,I,1.125,0.9,0.35,13.53688625,5.37223025,2.2963095,4.819415
16296,I,1.0375,0.775,0.25,10.3475675,4.46504625,2.22543575,2.83495
16297,M,0.9625,0.7125,0.3125,6.36446275,2.6932025,1.5025235,2.4097075
16298,F,1.5625,1.225,0.475,35.81959325,13.0691195,6.066793,10.0640725
16299,F,1.425,1.1125,0.425,28.91649,11.15552825,6.08096775,8.731646
16300,I,1.5125,1.2125,0.35,25.95396725,11.15552825,5.57067675,7.5126175
16301,M,1.475,1.1625,0.3375,25.41532675,10.87203325,6.8889285,7.7961125
16302,I,1.075,0.7875,0.2625,10.3475675,4.9611625,2.324659,3.40194
16303,I,1.2625,1.0,0.2875,18.540573,9.5537815,3.92640575,4.35164825
16304,I,0.9375,0.725,0.2375,7.75358825,3.005047,1.54504775,2.26796
16305,F,1.4875,1.1625,0.375,26.535132,10.3475675,4.649318,9.355335
16306,M,1.275,1.0125,0.325,21.8007655,9.79475225,5.03203625,6.9456275
16307,F,1.4875,1.1625,0.35,26.2799865,11.04213025,5.3013565,7.7961125
16308,F,1.3125,1.025,0.4,18.2854275,7.484268,4.63514325,6.0951425
16309,M,1.5625,1.225,0.4125,30.1922175,13.99047825,7.3425205,8.0796075
16310,I,1.325,1.025,0.35,20.9502805,8.1930055,4.60679375,5.17378375
16311,M,1.125,0.825,0.2625,12.74310025,4.5075705,2.9766975,3.96893
16312,I,1.3,1.0,0.3125,19.74542675,8.32057825,3.798833,5.386405
16313,F,1.3875,1.0625,0.3375,23.7285315,9.48290775,5.8683465,6.0951425
16314,M,1.3,1.075,0.35,22.92057075,9.1001895,5.03203625,6.80388
16315,I,0.325,0.2625,0.0625,0.43941725,0.18427175,0.0850485,0.1417475
16316,F,1.525,1.2,0.35,32.772022,14.13222575,6.90310325,8.0796075
16317,F,1.5875,1.3125,0.4125,33.89182725,15.1102835,6.973977,9.39785925
16318,M,1.3,1.0625,0.4125,22.80717275,10.5743635,5.42892925,7.2291225
16319,F,1.675,1.2875,0.475,39.70347475,13.2959155,10.20582,11.623295
16320,F,1.3125,1.0125,0.35,18.24290325,7.92368525,3.95475525,5.953395
16321,I,0.675,0.45,0.175,2.2963095,0.94970825,0.55281525,0.850485
16322,M,1.475,1.1875,0.4375,33.46658475,14.401546,7.47009325,8.788345
16323,M,1.4125,1.0625,0.325,21.885814,8.7032965,4.8477645,7.2291225
16324,M,1.5,1.1875,0.3875,30.674159,14.04717725,5.40057975,8.6465975
16325,I,1.1625,0.9,0.275,13.8062065,5.953395,3.0333965,3.78465825
16326,M,1.4625,1.175,0.375,25.911443,11.43902325,5.6699,7.7961125
16327,F,1.25,0.9625,0.3375,15.26620575,6.293589,2.9199985,5.6699
16328,F,1.5625,1.15,0.5,35.550273,17.1514475,7.35669525,12.26115875
16329,F,0.9625,0.725,0.25,8.63242275,3.24601775,1.6159215,2.28213475
16330,I,1.075,0.8375,0.25,10.07824725,4.139027,1.984465,3.118445
16331,M,1.5375,1.225,0.3875,32.13415825,15.03940975,5.5281525,8.9300925
16332,M,1.5,1.1625,0.3875,28.5479465,12.34620725,5.48562825,8.74582075
16333,I,1.325,1.0625,0.325,23.85610425,10.9712565,5.556502,6.9456275
16334,M,1.425,1.175,0.35,28.5479465,15.989118,5.6699,7.5126175
16335,I,1.35,1.05,0.325,19.43358225,9.96484925,4.025629,5.6699
16336,M,1.4125,1.1,0.45,29.27085875,10.36174225,6.2652395,8.3631025
16337,F,1.575,1.25,0.4375,36.6559035,14.81261375,8.32057825,10.489315
16338,M,1.7625,1.3875,0.5,43.6865795,20.695135,11.60912025,12.45960525
16339,I,0.5,0.3875,0.1625,1.88524175,0.8788345,0.26932025,0.396893
16340,I,1.2125,0.9625,0.3125,18.69649525,8.29222875,2.6365035,4.9611625
16341,F,1.5875,1.275,0.475,40.78075575,14.86931275,8.37727725,13.0691195
16342,I,1.25,0.975,0.375,14.628342,4.72019175,3.52951275,5.8116475
16343,M,1.675,1.35,0.475,43.488133,18.52639825,10.8011595,13.60776
16344,I,0.5875,0.45,0.125,1.82854275,0.60951425,0.26932025,0.56699
16345,F,1.225,0.9375,0.3125,15.35125425,7.1724235,2.9766975,4.819415
16346,I,1.4125,1.1125,0.4,29.7386255,14.7133905,5.48562825,7.7961125
16347,F,1.4375,1.0625,0.35,27.88173325,13.25339125,5.79747275,6.80388
16348,I,1.125,0.8375,0.2625,12.68640125,5.37223025,3.13261975,3.40194
16349,M,1.0625,0.7875,0.275,10.33339275,4.5075705,2.33883375,2.9766975
16350,F,1.3875,1.075,0.4,26.2799865,10.4042665,5.59902625,8.50485
16351,F,1.4375,1.1,0.4125,31.127751,13.154168,6.7755305,7.7961125
16352,F,1.45,1.125,0.425,24.9192105,8.334753,5.59902625,8.0796075
16353,M,1.65,1.325,0.5125,38.00250475,13.59358525,8.334753,12.40290625
16354,M,1.0625,0.8125,0.2875,8.51902475,3.89805625,1.63009625,2.62232875
16355,F,1.3875,1.1,0.3625,27.68328675,15.03940975,6.44951125,7.2291225
16356,M,1.5125,1.2125,0.45,38.85298975,13.87708025,7.78193775,11.1980525
16357,F,1.6125,1.3375,0.5125,49.59745025,19.391058,7.7394135,13.60776
16358,I,1.375,1.0875,0.4,22.792998,9.11436425,4.97533725,6.520385
16359,F,1.4875,1.1875,0.4,26.12406425,10.035723,5.556502,8.3631025
16360,I,1.4125,1.125,0.375,25.16018125,11.75086775,5.4147545,7.5126175
16361,M,1.35,1.05,0.3875,25.2027055,10.20582,5.783298,7.087375
16362,M,1.4875,1.2,0.4,30.0221205,11.963489,6.36446275,8.0796075
16363,I,0.8125,0.625,0.1875,3.6003865,1.34660125,0.86465975,1.13398
16364,M,1.4,1.0625,0.4,22.15513425,8.66077225,4.932813,6.23689
16365,F,1.25,1.0125,0.3125,18.597272,8.94426725,4.082328,5.726599
16366,F,1.7125,1.3,0.4375,45.812792,20.0430965,9.6104805,12.14776075
16367,F,1.425,1.1125,0.4125,27.21552,9.42620875,5.2446575,10.6310625
16368,I,1.25,0.9375,0.3125,15.2236815,7.10154975,3.515338,4.252425
16369,I,0.6375,0.475,0.15,2.2396105,0.793786,0.4252425,0.7087375
16370,I,0.85,0.625,0.1875,4.309124,1.60174675,0.94970825,1.2757275
16371,M,0.6875,0.5125,0.175,2.721552,1.020582,0.52446575,0.850485
16372,M,1.4875,1.1375,0.4125,30.43318825,13.4660125,5.8116475,8.3631025
16373,M,1.4625,1.1625,0.375,26.03901575,9.525432,5.68407475,8.3631025
16374,I,0.625,0.475,0.15,2.721552,2.16873675,0.58116475,0.850485
16375,I,0.875,0.65,0.225,5.3013565,2.1829115,1.11980525,1.8427175
16376,M,1.35,1.05,0.4,21.70154225,8.8733935,4.97533725,6.0951425
16377,I,0.45,0.3,0.1,0.793786,0.2551455,0.1417475,0.2551455
16378,F,1.525,1.2375,0.45,37.03862175,18.18620425,8.66077225,10.77281
16379,F,1.525,1.2,0.4625,36.7693015,11.453198,9.3836845,11.7650425
16380,F,1.6875,1.3125,0.5375,49.34230475,16.726205,8.94426725,13.99047825
16381,I,1.1625,0.875,0.2625,12.34620725,5.74077375,2.73572675,3.685435
16382,I,1.0625,0.8125,0.275,8.901743,3.41611475,1.7860185,2.56562975
16383,F,1.25,0.95,0.3125,16.2442635,7.04485075,3.798833,5.10291
16384,F,1.3625,1.0625,0.4,22.55202725,10.432616,4.479221,6.690482
16385,M,1.375,1.1,0.3875,28.33532525,12.303683,6.16601625,8.0796075
16386,I,0.4,0.3125,0.1375,0.66621325,0.21262125,0.113398,0.1417475
16387,M,1.35,1.125,0.3875,26.12406425,8.12213175,4.40834725,7.5126175
16388,F,1.5375,1.2375,0.375,35.096681,15.03940975,7.07320025,9.7805775
16389,M,1.7125,1.3,0.4125,36.5425055,18.9091165,8.34892775,10.0640725
16390,I,1.5375,1.1875,0.4,32.6869735,13.5227115,7.6260155,9.2135875
16391,M,1.4375,1.125,0.375,30.0221205,15.025235,6.22271525,6.80388
16392,I,1.0,0.75,0.225,9.08601475,4.025629,2.041164,2.494756
16393,M,1.05,0.8125,0.275,9.7238785,3.40194,2.50893075,2.9766975
16394,M,0.9375,0.7,0.225,7.824462,3.33106625,1.63009625,2.1262125
16395,I,1.2875,1.05,0.3375,19.3060095,7.7961125,4.819415,5.386405
16396,F,1.375,1.0875,0.4125,25.27357925,9.87980075,5.556502,6.6621325
16397,M,1.2,0.9,0.3125,14.69921575,6.2652395,2.87747425,4.819415
16398,F,1.675,1.3125,0.425,39.70347475,14.92601175,8.57572375,12.0485375
16399,M,1.2875,0.95,0.3375,15.2236815,5.96756975,3.67126025,4.9611625
16400,F,1.6,1.2875,0.425,38.8104655,17.6050395,8.63242275,10.489315
16401,F,1.5625,1.2375,0.425,32.44600275,14.514944,6.917278,8.6465975
16402,I,1.275,1.0125,0.35,16.2442635,7.200773,3.6570855,5.953395
16403,M,1.35,1.0375,0.3875,20.11397025,8.91591775,4.77689075,6.80388
16404,F,1.4375,1.175,0.375,31.127751,14.6566915,6.30776375,9.07184
16405,F,1.8125,1.4,0.4875,50.745605,25.7696955,10.1207715,12.3320325
16406,M,1.55,1.2125,0.45,32.98464325,13.82038125,7.3425205,9.4970825
16407,M,1.4,1.0625,0.3625,24.59319125,9.8372765,4.57844425,7.12989925
16408,M,1.4625,1.175,0.4125,27.68328675,12.54465375,6.59125875,7.44174375
16409,F,1.6875,1.375,0.5,41.730464,17.13727275,9.17106325,12.03436275
16410,I,0.4125,0.3,0.0875,0.5953395,0.21262125,0.07756,0.21262125
16411,F,1.575,1.2875,0.45,34.68561325,15.5071765,7.6827145,9.979024
16412,M,1.8,1.4125,0.5375,51.199197,19.06503875,9.241937,16.44271
16413,I,0.8875,0.7125,0.2125,6.7188315,2.26796,1.11980525,2.26796
16414,I,0.8875,0.7,0.225,8.618248,3.55786225,1.48834875,2.5798045
16415,M,1.55,1.2,0.4,28.91649,12.20445975,6.36446275,8.0796075
16416,F,1.175,0.8875,0.3125,14.4865945,6.19436575,2.50893075,4.3941725
16417,I,1.025,0.775,0.3,8.901743,3.912231,1.68679525,2.4097075
16418,F,1.5875,1.275,0.3875,35.096681,12.00601325,8.43397625,10.9145575
16419,M,1.575,1.2125,0.3875,33.0271675,14.288148,7.41339425,8.7032965
16420,F,1.8125,1.3875,0.475,49.59745025,21.98503725,10.4042665,13.60776
16421,I,1.25,0.9625,0.3125,13.53688625,6.33611325,2.5231055,3.8271825
16422,M,1.05,0.8125,0.3125,10.33339275,4.479221,2.26796,2.9766975
16423,M,1.8,1.375,0.4875,49.45570275,23.5584345,10.432616,13.0691195
16424,I,1.3625,1.025,0.35,19.74542675,9.87980075,3.64291075,5.1879585
16425,M,1.4375,1.1125,0.3625,25.86891875,11.75086775,6.19436575,7.7961125
16426,M,1.3625,1.0,0.3,18.5689225,7.427569,5.216308,5.2446575
16427,F,1.325,1.05,0.3875,24.5790165,7.7961125,5.11708475,10.77281
16428,I,1.125,0.8375,0.2625,12.54465375,4.9611625,2.36718325,3.8271825
16429,M,1.6375,1.25,0.4375,36.7693015,17.78931125,8.731646,9.4970825
16430,M,1.2875,1.0,0.35,20.70930975,9.25611175,3.84135725,5.06038575
16431,F,1.425,1.0625,0.3375,24.73493875,11.15552825,4.91863825,6.80388
16432,M,1.725,1.35,0.4375,38.215126,14.64251675,7.66853975,12.757275
16433,M,1.55,1.225,0.3875,32.02076025,10.8578585,7.314171,9.4970825
16434,M,1.9125,1.5,0.55,49.34230475,17.53416575,8.4198015,20.5533875
16435,F,1.575,1.2625,0.425,32.16250775,13.31009025,7.200773,9.922325
16436,I,1.1125,0.85,0.3125,10.56018875,5.273007,2.33883375,3.40194
16437,M,1.675,1.25,0.45,41.48949325,16.42853525,10.77281,10.20582
16438,F,1.025,0.775,0.2625,8.618248,4.60679375,1.70097,2.4097075
16439,M,1.6,1.2875,0.4125,40.83745475,20.97863,10.77281,9.4970825
16440,F,1.5875,1.2625,0.4375,36.38658325,13.79203175,6.56290925,11.7650425
16441,I,1.0875,0.85,0.2625,10.95708175,4.195726,1.984465,3.33106625
16442,M,1.6625,1.2875,0.5125,49.25725625,17.95940825,9.241937,17.349894
16443,M,1.5,1.175,0.4,34.8415355,16.6411565,6.5487345,9.4970825
16444,I,0.725,0.525,0.15,3.33106625,1.54504775,0.66621325,0.850485
16445,F,1.175,0.8875,0.3125,14.55746825,5.68407475,3.21766825,5.2446575
16446,F,1.6125,1.25,0.475,38.71124225,16.726205,9.00096625,13.60776
16447,F,1.6125,1.25,0.4,35.777069,15.52135125,7.27164675,9.02931575
16448,M,1.6375,1.275,0.4375,40.63900825,18.9091165,8.68912175,10.3475675
16449,M,1.8,1.4125,0.5375,60.6962795,32.47435225,11.89261525,14.0330025
16450,M,1.5875,1.275,0.4,35.30930225,15.5071765,8.68912175,9.8939755
16451,F,1.3125,1.025,0.325,21.0069795,10.47514025,4.32329875,5.6699
16452,F,0.9875,0.7375,0.2375,7.6827145,3.13261975,1.85689225,2.4097075
16453,M,1.375,1.0875,0.4875,20.87940675,9.70970375,4.40834725,6.0951425
16454,M,1.5375,1.2625,0.475,38.96638775,18.38465075,6.59125875,11.056305
16455,F,1.7625,1.375,0.525,43.09124,19.6462035,12.3320325,11.7650425
16456,F,1.55,1.2,0.5125,37.1094955,14.35902175,8.164656,11.1980525
16457,I,0.7,0.5,0.2375,3.61456125,1.54504775,0.80796075,1.26155275
16458,I,0.6875,0.4875,0.2,3.01922175,1.34660125,0.52446575,0.907184
16459,I,0.9625,0.7375,0.2125,7.9662095,3.58621175,1.11980525,2.1262125
16460,M,1.6125,1.1875,0.3875,34.983283,15.15280775,9.8372765,9.4970825
16461,I,1.1625,0.9375,0.3,15.5071765,6.13766675,3.98310475,4.252425
16462,F,1.5625,1.225,0.4375,36.967748,15.26620575,6.53455975,12.0485375
16463,F,1.7375,1.325,0.45,42.921143,20.45416425,9.015141,12.190285
16464,F,1.375,1.0875,0.4,24.73493875,9.87980075,5.499803,8.3631025
16465,M,1.5875,1.275,0.4125,37.03862175,17.860185,8.3064035,9.7805775
16466,F,0.925,0.7125,0.225,7.2858215,2.67902775,1.5025235,2.26796
16467,F,1.625,1.3125,0.45,45.57182125,19.15008725,9.015141,12.3320325
16468,I,1.25,0.95,0.2875,13.380964,5.556502,3.01922175,4.252425
16469,F,1.6875,1.375,0.425,44.0834725,17.19397175,10.149121,12.47378
16470,I,1.05,0.8125,0.2625,11.5949455,4.46504625,2.3530085,2.90582375
16471,F,1.4125,1.075,0.4375,25.174356,9.752228,6.0384435,8.788345
16472,I,1.375,1.025,0.3375,19.17843675,9.82310175,4.32329875,5.953395
