ID,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,type,location,quality
825,6,0.33,0.2,1.8,0.031,49,159,0.9919,3.41,0.53,11,white,California,6
826,6.1,0.16,0.37,1.1,0.031,37,97,0.9922,3.4,0.58,10.5,white,California,6
827,5.6,0.15,0.31,5.3,0.038,8,79,0.9923,3.3,0.39,10.5,white,California,6
828,7.1,0.16,0.44,2.5,0.068,17,31,0.99328,3.35,0.54,12.4,red,California,6
829,6.6,0.52,0.04,2.2,0.069,8,15,0.9956,3.4,0.63,9.4,red,Texas,6
830,8.8,0.37,0.48,2.1,0.097,39,145,0.9975,3.04,1.03,9.3,red,Texas,5
831,8.8,0.3,0.38,2.3,0.06,19,72,0.99543,3.39,0.72,11.8,red,California,6
832,7,0.69,0,1.9,0.114,3,10,0.99636,3.35,0.6,9.7,red,California,6
833,7.4,0.25,0.37,6.9,0.02,14,93,0.9939,3,0.48,10.7,white,California,7
834,6.9,0.22,0.37,15,0.053,59,178,0.9992,3.37,0.82,9.5,white,California,7
835,6.7,0.46,0.18,2.4,0.034,25,98,0.9896,3.08,0.44,12.6,white,California,7
836,7.6,0.31,0.23,12.7,0.054,20,139,0.99836,3.16,0.5,9.7,white,Texas,4
837,7.7,0.53,0.06,1.7,0.074,9,39,0.99615,3.35,0.48,9.8,red,Texas,6
838,7.2,0.22,0.24,1.4,0.041,17,159,0.99196,3.25,0.53,11.2,white,California,6
839,7.2,0.28,0.38,2,0.052,23,156,0.9912,3.13,0.52,11.1,white,California,5
840,8.1,0.3,0.49,8.1,0.037,26,174,0.9943,3.1,0.3,11.2,white,California,7
841,6.6,0.14,0.44,1.6,0.042,47,140,0.993,3.32,0.51,10.2,white,California,6
842,8.2,0.74,0.09,2,0.067,5,10,0.99418,3.28,0.57,11.8,red,California,6
843,5.5,0.62,0.33,1.7,0.037,24,118,0.98758,3.15,0.39,13.55,white,California,6
844,5.6,0.31,0.78,13.9,0.074,23,92,0.99677,3.39,0.48,10.5,red,California,6
845,5.9,0.34,0.31,2,0.03,38,142,0.98892,3.4,0.41,12.9,white,California,7
846,11.6,0.32,0.55,2.8,0.081,35,67,1.0002,3.32,0.92,10.8,red,California,7
847,6.8,0.24,0.29,9.5,0.042,56,157,0.99586,3.11,0.51,10.1,white,California,6
848,6.2,0.3,0.21,1.1,0.032,31,111,0.9889,2.97,0.42,12.2,white,California,6
849,6,0.2,0.26,1.1,0.033,38,67,0.98954,3.14,0.38,11.5,white,California,6
850,9,0.785,0.24,1.7,0.078,10,21,0.99692,3.29,0.67,10,red,Texas,5
851,7.3,0.205,0.31,1.7,0.06,34,110,0.9963,3.72,0.69,10.5,white,California,6
852,10.2,0.49,0.63,2.9,0.072,10,26,0.9968,3.16,0.78,12.5,red,California,7
853,6.7,0.265,0.22,8.6,0.048,54,198,0.9955,3.25,0.41,10.2,white,Texas,5
854,6.8,0.28,0.29,11.9,0.052,51,149,0.99544,3.02,0.58,10.4,white,California,6
855,7.8,0.17,0.5,1.3,0.045,35,140,0.9904,3.16,0.4,12,white,California,6
856,6.2,0.25,0.38,7.9,0.045,54,208,0.99572,3.17,0.46,9.1,white,California,5
857,6.8,0.34,0.36,8.9,0.029,44,128,0.99318,3.28,0.35,11.95,white,California,7
858,7.1,0.26,0.3,2,0.031,13,128,0.9917,3.19,0.49,11.4,white,Texas,5
859,6,0.26,0.33,4.35,0.04,15,80,0.98934,3.29,0.5,12.7,white,California,6
860,6.9,0.36,0.28,13.55,0.048,51,189,0.99782,3,0.6,9.5,white,California,7
861,7.8,0.29,0.22,9.5,0.056,44,213,0.99715,3.08,0.61,9.3,white,California,6
862,7.2,0.34,0.3,8.4,0.051,40,167,0.99756,3.48,0.62,9.7,white,Texas,5
863,9.1,0.765,0.04,1.6,0.078,4,14,0.998,3.29,0.54,9.7,red,Texas,4
864,7.6,0.31,0.27,8.8,0.021,57,156,0.99442,3.08,0.38,11,white,California,7
865,6.6,0.26,0.21,2.9,0.026,48,126,0.99089,3.22,0.38,11.3,white,California,7
866,8.1,0.3,0.49,12.3,0.049,50,144,0.9971,3.09,0.57,10.2,white,California,7
867,5.9,0.22,0.45,22.6,0.12,55,122,0.99636,3.1,0.35,12.8,white,Texas,5
868,5.9,0.42,0.36,2.4,0.034,19,77,0.99184,3.25,0.48,10.9,white,Texas,5
869,7.6,0.17,0.45,11.2,0.054,56,137,0.997,3.15,0.47,10,white,Texas,5
870,9.7,0.31,0.47,1.6,0.062,13,33,0.9983,3.27,0.66,10,red,California,6
871,6.2,0.47,0.21,1,0.044,13,98,0.99345,3.14,0.46,9.2,white,Texas,5
872,8.3,0.6,0.25,2.2,0.118,9,38,0.99616,3.15,0.53,9.8,red,Texas,5
873,7.3,0.24,0.34,7.5,0.048,29,152,0.9962,3.1,0.54,9,white,Texas,5
874,6.6,0.64,0.28,4.4,0.032,19,78,0.99036,3.11,0.62,12.9,white,California,6
875,7,0.59,0,1.7,0.052,3,8,0.996,3.41,0.47,10.3,red,California,5
876,7.7,0.11,0.34,14.05,0.04,41,114,0.99634,3.07,0.59,11,white,California,7
877,6.6,0.31,0.38,16.05,0.058,16,165,0.9997,3.38,0.6,9.2,white,Texas,5
878,7.1,0.2,0.31,6.85,0.053,32,211,0.99587,3.31,0.59,10.4,white,California,6
879,6.3,0.27,0.25,5.8,0.038,52,155,0.995,3.28,0.38,9.4,white,Texas,6
880,7.4,0.25,0.28,7.25,0.028,14,78,0.99238,2.94,0.37,11.5,white,California,7
881,8.1,0.17,0.44,14.1,0.053,43,145,1.0006,3.28,0.75,8.8,white,California,8
882,7.9,0.27,0.27,1.7,0.034,25,122,0.99088,2.97,0.51,11.9,white,California,6
883,4.5,0.19,0.21,0.95,0.033,89,159,0.99332,3.34,0.42,8,white,California,5
884,7.9,0.25,0.35,6.7,0.039,22,64,0.99362,2.93,0.49,10.7,white,California,5
885,8,0.24,0.26,1.7,0.033,36,136,0.99316,3.44,0.51,10.4,white,California,7
886,6.2,0.36,0.32,4,0.036,44,92,0.98936,3.2,0.5,13.3,white,California,7
887,6.9,0.21,0.33,1.4,0.056,35,136,0.9938,3.63,0.78,10.3,white,California,6
888,10.8,0.32,0.44,1.6,0.063,16,37,0.9985,3.22,0.78,10,red,Texas,6
889,6.6,0.5,0.04,2.1,0.068,6,14,0.9955,3.39,0.64,9.4,red,Texas,6
890,6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,white,California,7
891,7,0.54,0,2.1,0.079,39,55,0.9956,3.39,0.84,11.4,red,California,6
892,13.2,0.38,0.55,2.7,0.081,5,16,1.0006,2.98,0.54,9.4,red,Texas,5
893,6.8,0.29,0.34,3.5,0.054,26,189,0.99489,3.42,0.58,10.4,white,California,5
894,6.8,0.31,0.19,3.5,0.086,30,130,0.993,2.83,0.44,9.6,white,California,5
895,9.1,0.28,0.49,2,0.059,10,112,0.9958,3.15,0.46,10.1,white,Texas,5
896,7,0.24,0.47,1.3,0.043,18,131,0.99176,3.19,0.45,11,white,California,6
897,5.8,0.34,0.21,7.2,0.041,48,146,0.99441,3.16,0.49,9.8,white,Texas,5
898,8.4,0.22,0.28,18.8,0.028,55,130,0.998,2.96,0.35,11.6,white,Texas,5
899,6.7,0.31,0.08,1.3,0.038,58,147,0.9922,3.18,0.46,10,white,Texas,5
900,9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5,red,Texas,5
901,7,0.26,0.26,10.8,0.039,37,184,0.99787,3.47,0.58,10.3,white,California,7
902,6.8,0.63,0.12,3.8,0.099,16,126,0.9969,3.28,0.61,9.5,red,Texas,5
903,7.7,0.41,0.76,1.8,0.611,8,45,0.9968,3.06,1.26,9.4,red,Texas,5
904,7,0.16,0.73,1,0.138,58,150,0.9936,3.08,0.3,9.2,white,Texas,5
905,7.7,0.57,0.21,1.5,0.069,4,9,0.99458,3.16,0.54,9.8,red,California,6
906,5.6,0.46,0.24,4.8,0.042,24,72,0.9908,3.29,0.37,12.6,white,California,6
907,7,0.29,0.37,1.6,0.035,34,126,0.99058,3.26,0.47,12.3,white,California,6
908,7.5,0.42,0.34,4.3,0.04,34,108,0.99155,3.14,0.45,12.8,white,California,8
909,7.9,0.17,0.32,1.6,0.053,47,150,0.9948,3.29,0.76,9.6,white,California,6
910,7.7,0.44,0.24,11.2,0.031,41,167,0.9948,3.12,0.43,11.3,white,California,7
911,6.7,0.48,0.49,2.9,0.03,28,122,0.98926,3.13,0.4,13,white,Texas,6
912,7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,white,Texas,6
913,6.3,0.4,0.24,5.1,0.036,43,131,0.99186,3.24,0.44,11.3,white,California,6
914,6.4,0.25,0.32,11.3,0.038,69,192,0.99573,3.14,0.5,10.2,white,California,6
915,8,0.77,0.32,2.1,0.079,16,74,0.99656,3.27,0.5,9.8,red,California,6
916,6.2,0.785,0,2.1,0.06,6,13,0.99664,3.59,0.61,10,red,Texas,4
917,6.6,0.33,0.24,16.05,0.045,31,147,0.99822,3.08,0.52,9.2,white,Texas,5
918,5.6,0.19,0.26,1.4,0.03,12,76,0.9905,3.25,0.37,10.9,white,California,7
919,6,0.31,0.32,7.4,0.175,47,159,0.9952,3.19,0.5,9.4,white,California,6
920,7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,red,California,6
921,6.9,0.33,0.26,5,0.027,46,143,0.9924,3.25,0.43,11.2,white,California,7
922,6.9,0.41,0.33,2.2,0.081,22,36,0.9949,3.41,0.75,11.1,red,California,6
923,7.1,0.44,0.62,11.8,0.044,52,152,0.9975,3.12,0.46,8.7,white,Texas,6
924,7,0.28,0.32,7.75,0.032,30,114,0.99158,3.12,0.64,12.8,white,California,7
925,6.7,0.34,0.3,15.6,0.054,51,196,0.9982,3.19,0.49,9.3,white,California,5
926,7.2,0.37,0.32,2,0.062,15,28,0.9947,3.23,0.73,11.3,red,California,7
927,6.2,0.22,0.28,2.2,0.04,24,125,0.9917,3.19,0.48,10.5,white,Texas,6
928,6,0.29,0.41,10.8,0.048,55,149,0.9937,3.09,0.59,10.96666667,white,California,7
929,6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1,white,Texas,5
930,5.6,0.225,0.24,9.8,0.054,59,140,0.99545,3.17,0.39,10.2,white,California,6
931,6.9,0.56,0.26,10.9,0.06,55,193,0.9969,3.21,0.44,9.4,white,Texas,5
932,6.8,0.24,0.37,7.45,0.043,59,188,0.99579,3.2,0.5,9.4,white,California,6
933,8.6,0.27,0.46,6.1,0.032,13,41,0.993,2.89,0.34,10.9,white,Texas,5
934,5,0.17,0.56,1.5,0.026,24,115,0.9906,3.48,0.39,10.8,white,California,7
935,8.9,0.5,0.21,2.2,0.088,21,39,0.99692,3.33,0.83,11.1,red,California,6
936,7.4,0.62,0.05,1.9,0.068,24,42,0.9961,3.42,0.57,11.5,red,Texas,6
937,7.5,1.115,0.1,3.1,0.086,5,12,0.9958,3.54,0.6,11.2,red,Texas,4
938,6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7,red,California,6
939,7.1,0.23,0.28,1.9,0.046,33,103,0.98997,3.12,0.31,12,white,California,5
940,7,0.46,0.39,6.2,0.039,46,163,0.9928,3.21,0.35,12.2,white,California,7
941,10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7,red,California,6
942,6.9,0.26,0.29,4.2,0.043,33,114,0.9902,3.16,0.31,12.5,white,California,6
943,9.9,0.57,0.25,2,0.104,12,89,0.9963,3.04,0.9,10.1,red,Texas,5
944,6.6,0.32,0.33,2.5,0.052,40,210,0.99316,3.15,0.6,10,white,Texas,5
945,10.3,0.34,0.52,2.8,0.159,15,75,0.9998,3.18,0.64,9.4,red,Texas,5
946,6.7,0.31,0.31,4.9,0.031,20,151,0.9926,3.36,0.82,12,white,California,7
947,5.7,0.25,0.27,10.8,0.05,58,116,0.99592,3.1,0.5,9.8,white,California,6
948,6.3,0.35,0.26,17.6,0.061,59,198,0.99918,3.11,0.49,8.8,white,California,5
949,6.3,0.13,0.42,1.1,0.043,63,146,0.99066,3.13,0.72,11.2,white,California,7
950,5.7,0.15,0.28,3.7,0.045,57,151,0.9913,3.22,0.27,11.2,white,California,6
951,9,0.38,0.53,2.1,0.102,19,76,0.99001,2.93,0.57,12.9,white,California,5
952,7.2,0.6,0.2,9.9,0.07,21,174,0.9971,3.03,0.54,9.1,white,Texas,5
953,7.1,0.28,0.26,1.9,0.049,12,86,0.9934,3.15,0.38,9.4,white,Texas,5
954,6.5,0.22,0.45,8,0.053,52,196,0.9959,3.23,0.48,9.1,white,California,6
955,6.2,0.22,0.2,20.8,0.035,58,184,1.00022,3.11,0.53,9,white,California,6
956,7.8,0.53,0.33,2.4,0.08,24,144,0.99655,3.3,0.6,9.5,red,Texas,5
957,6.2,0.36,0.14,8.9,0.036,38,155,0.99622,3.27,0.5,9.4,white,California,5
958,6.1,0.27,0.32,1.1,0.034,24,110,0.9898,3.36,0.4,12.5,white,Texas,6
959,5.7,0.23,0.28,9.65,0.025,26,121,0.9925,3.28,0.38,11.3,white,California,6
960,6,0.24,0.27,1.9,0.048,40,170,0.9938,3.64,0.54,10,white,California,7
961,7.9,0.21,0.4,1.2,0.039,38,107,0.992,3.21,0.54,10.8,white,Texas,6
962,6.8,0.18,0.38,1.4,0.038,35,111,0.9918,3.32,0.59,11.2,white,California,7
963,8.6,0.83,0,2.8,0.095,17,43,0.99822,3.33,0.6,10.4,red,California,6
964,6.4,0.3,0.38,7.8,0.046,35,192,0.9955,3.1,0.37,9,white,Texas,5
965,7,0.36,0.32,10.05,0.045,37,131,0.99352,3.09,0.33,11.7,white,Texas,8
966,8.2,0.34,0.29,5.2,0.076,19,92,0.99138,2.95,0.39,12.5,white,California,6
967,6.6,0.38,0.15,4.6,0.044,25,78,0.9931,3.11,0.38,10.2,white,Texas,6
968,8,0.28,0.32,7.6,0.045,61,204,0.99543,3.1,0.55,10.1,white,California,6
969,6.3,0.27,0.25,5.8,0.038,52,155,0.995,3.28,0.38,9.4,white,Texas,6
970,7.9,0.29,0.31,7.35,0.034,37,154,0.9938,3.06,0.31,10.8,white,Texas,5
971,7.5,0.38,0.57,2.3,0.106,5,12,0.99605,3.36,0.55,11.4,red,California,6
972,7.6,0.22,0.28,12,0.056,68,143,0.9983,2.99,0.3,9.2,white,California,6
973,7.1,0.685,0.35,2,0.088,9,92,0.9963,3.28,0.62,9.4,red,Texas,5
974,7.6,0.33,0.35,6.3,0.036,12,126,0.9924,3.16,0.39,12,white,California,7
975,6.8,0.3,0.27,11.6,0.028,22,97,0.99314,2.96,0.38,11.7,white,California,6
976,11.9,0.695,0.53,3.4,0.128,7,21,0.9992,3.17,0.84,12.2,red,California,7
977,6.3,0.14,0.39,1.2,0.044,26,116,0.992,3.26,0.53,10.3,white,Texas,6
978,7.7,0.27,0.34,1.8,0.028,26,168,0.9911,2.99,0.48,12.1,white,California,7
979,9.7,0.24,0.49,4.9,0.032,3,18,0.99368,2.85,0.54,10,white,California,6
980,7.2,0.19,0.39,1.2,0.036,32,85,0.9918,3.16,0.5,10.5,white,California,5
981,7.8,0.18,0.46,12.6,0.042,41,143,1,3.24,0.76,8.5,white,California,8
982,6.4,0.25,0.28,4.9,0.03,29,98,0.99024,3.09,0.58,12.8,white,California,7
983,9.3,0.39,0.44,2.1,0.107,34,125,0.9978,3.14,1.22,9.5,red,Texas,5
984,10.4,0.34,0.58,3.7,0.174,6,16,0.997,3.19,0.7,11.3,red,California,6
985,6.2,0.45,0.73,7.2,0.099,47,202,0.99582,3.21,0.43,9.2,white,Texas,5
986,6.5,0.26,0.32,16.5,0.045,44,166,1,3.38,0.46,9.5,white,California,6
987,6.2,0.36,0.27,3.2,0.032,13,73,0.98942,2.9,0.69,12.6,white,California,7
988,7.5,0.28,0.39,10.2,0.045,59,209,0.9972,3.16,0.63,9.6,white,California,6
989,6.5,0.36,0.49,2.9,0.03,16,94,0.9902,3.1,0.49,12.1,white,California,7
990,6.3,0.55,0.45,13,0.047,33,182,0.9974,3.2,0.46,9.2,white,Texas,6
991,6.6,0.19,0.28,1.1,0.044,38,100,0.9904,3.22,0.69,11.2,white,Texas,6
992,6.8,0.18,0.35,5.4,0.054,53,143,0.99287,3.1,0.54,11,white,California,7
993,7,0.62,0.18,1.5,0.062,7,50,0.9951,3.08,0.6,9.3,red,Texas,5
994,7.2,0.4,0.62,10.8,0.041,70,189,0.9976,3.08,0.49,8.6,white,Texas,4
995,8.3,0.28,0.27,17.5,0.045,48,253,1.00014,3.02,0.56,9.1,white,California,6
996,6.8,0.31,0.3,8,0.028,33,122,0.99164,3.13,0.63,12.6,white,California,7
997,7.4,0.39,0.23,7,0.033,29,126,0.994,3.14,0.42,10.5,white,Texas,5
998,10.2,0.23,0.37,2.2,0.057,14,36,0.99614,3.23,0.49,9.3,red,Texas,4
999,6.2,0.25,0.21,15.55,0.039,28,159,0.9982,3.48,0.64,9.6,white,California,6
1000,7.1,0.2,0.31,7.4,0.053,32,211,0.99587,3.31,0.59,10.4,white,California,6
1001,6.6,0.41,0.31,1.6,0.042,18,101,0.99195,3.13,0.41,10.5,white,California,5
1002,9.6,0.23,0.4,1.5,0.044,19,135,0.9937,2.96,0.49,10.9,white,Texas,5
1003,8,0.83,0.27,2,0.08,11,63,0.99652,3.29,0.48,9.8,red,Texas,4
1004,7.3,0.26,0.36,5.2,0.04,31,141,0.9931,3.16,0.59,11,white,Texas,6
1005,7.2,0.34,0.28,10.4,0.108,43,187,0.99738,2.96,0.57,9.4,white,California,5
1006,7.6,0.43,0.4,2.7,0.082,6,11,0.99538,3.44,0.54,12.2,red,California,6
1007,7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,white,Texas,6
1008,8.5,0.32,0.36,14.9,0.041,47,190,0.9982,3.08,0.31,10,white,California,6
1009,6.9,0.19,0.49,6.6,0.036,49,172,0.9932,3.2,0.27,11.5,white,California,6
1010,6.5,0.46,0.41,16.8,0.084,59,222,0.9993,3.18,0.58,9,white,Texas,5
1011,8.2,0.28,0.42,1.8,0.031,30,93,0.9917,3.09,0.39,11.4,white,Texas,5
1012,6.7,0.41,0.34,9.2,0.049,29,150,0.9968,3.22,0.51,9.1,white,Texas,5
1013,8,0.28,0.44,1.8,0.081,28,68,0.99501,3.36,0.66,11.2,red,Texas,5
1014,6.9,0.13,0.28,13.3,0.05,47,132,0.99655,3.34,0.42,10.1,white,California,6
1015,7.5,0.63,0.12,5.1,0.111,50,110,0.9983,3.26,0.77,9.4,red,Texas,5
1016,8.2,0.59,0,2.5,0.093,19,58,1.0002,3.5,0.65,9.3,red,California,6
1017,6.9,0.15,0.28,4.4,0.029,14,107,0.99347,3.24,0.46,10.4,white,Texas,8
1018,8.8,0.33,0.44,6.35,0.024,9,87,0.9917,2.96,0.4,12.6,white,California,7
1019,6.2,0.3,0.32,1.7,0.032,30,130,0.9911,3.28,0.41,11.2,white,California,7
1020,6.4,0.105,0.29,1.1,0.035,44,140,0.99142,3.17,0.55,10.7,white,California,7
1021,7.3,0.58,0.3,2.4,0.074,15,55,0.9968,3.46,0.59,10.2,red,Texas,5
1022,9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,red,Texas,5
1023,5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,white,California,6
1024,7.5,0.24,0.29,1.1,0.046,34,84,0.9902,3.04,0.39,11.45,white,Texas,6
1025,6.3,0.24,0.29,13.7,0.035,53,134,0.99567,3.17,0.38,10.6,white,California,6
1026,6.1,0.3,0.3,2.1,0.031,50,163,0.9895,3.39,0.43,12.7,white,California,7
1027,8.2,0.7,0.23,2,0.099,14,81,0.9973,3.19,0.7,9.4,red,Texas,5
1028,7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,red,Texas,5
1029,7.2,0.32,0.24,5.6,0.033,23,120,0.99334,2.92,0.66,10.3,white,California,7
1030,7.6,0.68,0.02,1.3,0.072,9,20,0.9965,3.17,1.08,9.2,red,Texas,4
1031,9.6,0.54,0.42,2.4,0.081,25,52,0.997,3.2,0.71,11.4,red,California,6
1032,5.3,0.32,0.23,9.65,0.026,26,119,0.99168,3.18,0.53,12.2,white,California,6
1033,7.6,0.285,0.32,14.6,0.063,32,201,0.998,3,0.45,9.2,white,Texas,5
1034,6.5,0.2,0.5,18.1,0.054,50,221,0.99941,2.94,0.64,8.8,white,California,6
1035,7.3,0.51,0.26,3.3,0.09,7,135,0.9944,3.01,0.52,8.8,white,Texas,5
1036,8,0.27,0.33,1.2,0.05,41,103,0.99002,3,0.45,12.4,white,California,6
1037,7.2,0.27,0.31,1.2,0.031,27,80,0.98892,3.03,0.33,12.7,white,California,6
1038,6.6,0.26,0.56,15.4,0.053,32,141,0.9981,3.11,0.49,9.3,white,Texas,5
1039,6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,white,Texas,5
1040,6.5,0.29,0.32,3,0.036,38,93,0.9906,3.16,0.59,12,white,Texas,6
1041,7.6,0.48,0.28,10.4,0.049,57,205,0.99748,3.24,0.45,9.3,white,Texas,5
1042,6.9,0.3,0.25,3.3,0.041,26,124,0.99428,3.18,0.5,9.3,white,California,6
1043,6.6,0.28,0.42,8.2,0.044,60,196,0.99562,3.14,0.48,9.4,white,California,5
1044,6.8,0.15,0.41,12.9,0.044,79.5,183,0.99742,3.24,0.78,10.2,white,California,6
1045,6.5,0.28,0.35,15.4,0.042,55,195,0.9978,3.23,0.5,9.6,white,Texas,6
1046,6.5,0.13,0.37,1,0.036,48,114,0.9911,3.41,0.51,11.5,white,Texas,8
1047,6.6,0.34,0.4,8.1,0.046,68,170,0.99494,3.15,0.5,9.533333333,white,California,6
1048,7.1,0.31,0.5,14.5,0.059,6,148,0.9983,2.94,0.44,9.1,white,Texas,5
1049,6.9,0.18,0.3,2,0.038,39,190,0.9914,3.32,0.37,12.2,white,California,6
1050,7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,white,California,8
1051,7.6,0.715,0,2.1,0.068,30,35,0.99533,3.48,0.65,11.4,red,California,6
1052,7.4,0.63,0.07,2.4,0.09,11,37,0.9979,3.43,0.76,9.7,red,California,6
1053,5.9,0.26,0.24,2.4,0.046,27,132,0.99234,3.63,0.73,11.3,white,California,5
1054,7.6,0.39,0.22,2.8,0.036,19,113,0.9926,3.03,0.29,10.2,white,Texas,5
1055,7.6,0.9,0.06,2.5,0.079,5,10,0.9967,3.39,0.56,9.8,red,Texas,5
1056,7.6,1.58,0,2.1,0.137,5,9,0.99476,3.5,0.4,10.9,red,Texas,3
1057,6.4,0.31,0.28,2.5,0.039,34,137,0.98946,3.22,0.38,12.7,white,California,6
1058,6.1,0.21,0.38,1.5,0.039,37,122,0.98972,3.2,0.43,12,white,California,6
1059,7.2,0.16,0.29,1,0.031,40,123,0.98958,3.12,0.4,12.1,white,California,7
1060,7.8,0.22,0.38,10.3,0.059,28,99,0.9967,3.12,0.47,10,white,Texas,6
1061,7.5,0.21,0.68,10.9,0.045,38,133,0.9978,3,0.36,8.7,white,Texas,5
1062,6.2,0.36,0.14,8.9,0.036,38,155,0.99622,3.27,0.5,9.4,white,California,5
1063,5.9,0.21,0.24,12.1,0.044,53,165,0.9969,3.25,0.39,9.5,white,Texas,5
1064,7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,red,Texas,5
1065,5.3,0.4,0.25,3.9,0.031,45,130,0.99072,3.31,0.58,11.75,white,California,7
1066,6.7,0.26,0.29,5.8,0.025,26,74,0.9929,3.28,0.53,11,white,California,6
1067,6.1,0.3,0.56,2.8,0.044,47,179,0.9924,3.3,0.57,10.9,white,California,7
1068,6.7,0.56,0.09,2.9,0.079,7,22,0.99669,3.46,0.61,10.2,red,California,5
1069,7.7,0.39,0.3,5.2,0.037,29,131,0.9943,3.38,0.44,11,white,California,6
1070,11.6,0.53,0.66,3.65,0.121,6,14,0.9978,3.05,0.74,11.5,red,California,7
1071,6.6,0.36,0.21,1.5,0.049,39,184,0.9928,3.18,0.41,9.9,white,California,6
1072,6.3,0.305,0.22,16,0.061,26,141,0.99824,3.08,0.5,9.1,white,Texas,5
1073,7.3,0.25,0.36,13.1,0.05,35,200,0.9986,3.04,0.46,8.9,white,California,7
1074,7.4,0.25,0.49,1.1,0.042,35,156,0.9917,3.13,0.55,11.3,white,Texas,5
1075,7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,white,California,7
1076,7.4,0.34,0.28,12.1,0.049,31,149,0.99677,3.22,0.49,10.3,white,California,5
1077,8.6,0.55,0.35,15.55,0.057,35.5,366.5,1.0001,3.04,0.63,11,white,Texas,3
1078,5.8,0.15,0.28,0.8,0.037,43,127,0.99198,3.24,0.51,9.3,white,California,5
1079,7,0.45,0.34,19.8,0.04,12,67,0.9976,3.07,0.38,11,white,California,6
1080,8.4,0.56,0.04,2,0.082,10,22,0.9976,3.22,0.44,9.6,red,Texas,5
1081,7,0.64,0.02,2.1,0.067,9,23,0.997,3.47,0.67,9.4,red,California,6
1082,7,0.57,0.1,8.3,0.094,23,188,0.9972,3.4,0.47,9.2,white,Texas,4
1083,5,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,white,California,6
1084,7.6,0.18,0.28,7.1,0.041,29,110,0.99652,3.2,0.42,9.2,white,California,6
1085,6.3,0.27,0.37,7.9,0.047,58,215,0.99542,3.19,0.48,9.5,white,California,6
1086,7,0.3,0.28,2.2,0.042,21,177,0.99166,3.2,0.57,11.4,white,California,5
1087,6.3,0.32,0.17,17.75,0.06,51,190,0.99916,3.13,0.48,8.8,white,California,6
1088,5.9,0.28,0.34,3.6,0.04,50,194,0.9912,3.31,0.52,11.6,white,California,6
1089,6.8,0.29,0.22,3.4,0.035,40,122,0.99024,3.09,0.47,12.3,white,Texas,6
1090,6.3,0.2,0.58,1.4,0.204,15,97,0.9931,3.16,0.43,10,white,California,6
1091,7.6,0.27,0.24,3.8,0.058,19,115,0.9958,3.15,0.45,8.9,white,Texas,5
1092,6.9,0.37,0.28,13.8,0.031,34,137,0.9948,3.1,0.37,11.6,white,California,6
1093,7.6,0.43,0.31,2.1,0.069,13,74,0.9958,3.26,0.54,9.9,red,California,6
1094,9.8,0.34,0.39,1.4,0.066,3,7,0.9947,3.19,0.55,11.4,red,California,7
1095,7.5,0.55,0.24,2,0.078,10,28,0.9983,3.45,0.78,9.5,red,California,6
1096,7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,white,California,8
1097,8.2,0.32,0.26,2.1,0.062,26,87,0.98974,3.1,0.47,12.8,white,California,6
1098,6.2,0.345,0.27,10.1,0.056,38,187,0.99486,3.31,0.56,10.6,white,California,5
1099,6.7,0.26,0.3,1.8,0.043,25,121,0.9944,3.44,0.61,10.2,white,California,6
1100,6.6,0.21,0.6,1.1,0.135,61,144,0.9927,3.12,0.39,9.3,white,California,7
1101,6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,white,California,6
1102,9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,red,California,7
1103,12.5,0.6,0.49,4.3,0.1,5,14,1.001,3.25,0.74,11.9,red,California,6
1104,5.6,0.39,0.24,4.7,0.034,27,77,0.9906,3.28,0.36,12.7,white,Texas,5
1105,7,0.34,0.1,3.5,0.044,17,63,0.9937,3.01,0.39,9.2,white,California,5
1106,6.9,0.15,0.29,2.3,0.033,14,82,0.99132,3.1,0.58,11.2,white,California,7
